SN1: c:0.41733572605 t0:58456.8830097 x0:0.000553036807462 x1:0.297002090282 z:0.0811653150011 
SN251: c:-0.190406950622 t0:58582.4441447 x0:0.00114782352288 x1:0.157360941436 z:0.0573057299291 
SN252: c:-0.891970958691 t0:58478.2484507 x0:0.017377766243 x1:1.54394196822 z:0.0151878149315 
SN253: c:0.145432212799 t0:58547.0240995 x0:0.00101979599875 x1:1.29634084198 z:0.0606506685262 
SN254: c:-0.703211224421 t0:58456.8613417 x0:0.000283405528461 x1:4.31069802136 z:0.111036903986 
SN255: c:0.296520451942 t0:58644.0368491 x0:0.00559071568752 x1:-2.37591197625 z:0.0265530075255 
SN256: c:-0.0950648385979 t0:58342.1444217 x0:0.000243861403219 x1:-1.22176665148 z:0.119041853138 
SN257: c:0.0894265041921 t0:58433.5851591 x0:0.00360694459751 x1:-2.27063225308 z:0.0329044034155 
SN258: c:-0.0982860147868 t0:58634.8579671 x0:0.000259657977658 x1:-0.865377593165 z:0.115635246478 
SN259: c:-0.0124834848499 t0:58345.7849065 x0:0.00457798664884 x1:3.88004092606 z:0.0292845588137 
SN260: c:0.375500609193 t0:58463.9329782 x0:0.0267348890524 x1:-1.91636039855 z:0.0122713782101 
SN261: c:0.0521367437931 t0:58373.3094318 x0:0.000743784083232 x1:0.312823242007 z:0.0705188485151 
SN262: c:0.0893947585039 t0:58623.7741993 x0:0.00216389727412 x1:-0.525613417227 z:0.0421951114285 
SN263: c:-0.249369901161 t0:58647.2624252 x0:0.0059528243027 x1:-2.95032910568 z:0.0257479740124 
SN264: c:0.610778868148 t0:58425.2370891 x0:0.0822056343182 x1:1.49591757725 z:0.00702551484287 
SN265: c:-0.367591662196 t0:58382.9875353 x0:0.000181028572116 x1:4.24051266181 z:0.136521780322 
SN266: c:0.481418228571 t0:58574.8897553 x0:0.00027627376254 x1:1.04684502973 z:0.112358152424 
SN267: c:0.210465094574 t0:58456.5787002 x0:0.00319125471985 x1:-1.86956503021 z:0.0349300803144 
SN268: c:-0.528632848635 t0:58307.1645965 x0:0.00032511444443 x1:4.39860775783 z:0.104165611242 
SN269: c:-0.000955442004243 t0:58535.9398476 x0:0.000201354943251 x1:-0.40921375049 z:0.130022618345 
SN270: c:-0.402083079008 t0:58440.4072916 x0:0.00034893797541 x1:-4.54536861048 z:0.100783921796 
SN271: c:0.469167194417 t0:58626.8484122 x0:0.00471926483992 x1:-2.90433156089 z:0.0288520478271 
SN272: c:-0.144852710921 t0:58543.8213953 x0:0.000641273669657 x1:0.871303525347 z:0.0756687722356 
SN273: c:0.12989221803 t0:58518.3843346 x0:0.00019423734136 x1:-3.83270111887 z:0.132187858908 
SN274: c:0.157581092622 t0:58393.9960777 x0:0.000167581952467 x1:-4.82974645648 z:0.141421839682 
SN275: c:-0.155769267126 t0:58598.3585647 x0:0.0498953486821 x1:-3.28582287037 z:0.00900447053811 
SN276: c:0.488966405736 t0:58580.8432293 x0:0.000290193537748 x1:3.67361760984 z:0.109822878398 
SN277: c:0.369533513477 t0:58373.4508982 x0:0.0196330751651 x1:0.941459705776 z:0.0142983087083 
SN278: c:0.182097890559 t0:58535.4692753 x0:0.000210888466755 x1:1.70385328789 z:0.127287600127 
SN279: c:0.53105687131 t0:58541.511341 x0:0.00146430637452 x1:-2.07289751163 z:0.0509686596692 
SN280: c:0.224385971547 t0:58547.0805977 x0:0.299956208265 x1:0.0217672603486 z:0.00368708429552 
SN281: c:0.36879828061 t0:58544.0295169 x0:0.000225644525666 x1:1.1690179723 z:0.12338491656 
SN282: c:0.162658949596 t0:58649.5657125 x0:0.0220641803183 x1:-0.824654414497 z:0.0134956461333 
SN283: c:-0.0728555080136 t0:58439.8071028 x0:0.00025739425192 x1:-5.93150571414 z:0.116104986609 
SN284: c:-0.206208924296 t0:58534.0058543 x0:0.194720874166 x1:3.02754453196 z:0.0045731770076 
SN285: c:-0.135809362869 t0:58617.7675092 x0:0.000733399650993 x1:-0.0235735245421 z:0.0709923956046 
SN286: c:-0.261860532531 t0:58299.6673995 x0:0.00103612216778 x1:2.76043689499 z:0.0601907921625 
SN287: c:0.315066647869 t0:58362.4736214 x0:0.725567025381 x1:-0.316656262361 z:0.00237301386292 
SN288: c:-0.491636750095 t0:58447.1971378 x0:0.00542835476268 x1:0.502253956 z:0.0269395223115 
SN289: c:-0.0779906190072 t0:58367.3466654 x0:0.000168344118806 x1:-3.10380334549 z:0.141129329956 
SN290: c:0.178078632141 t0:58355.5875491 x0:0.0013294060775 x1:2.31417933207 z:0.053398459863 
SN291: c:-0.229239807095 t0:58639.4666026 x0:0.0688098134788 x1:4.28059069002 z:0.00767526327452 
SN292: c:-0.312478242365 t0:58308.791524 x0:0.000307921438385 x1:3.12209658584 z:0.106835746245 
SN293: c:-0.18727760922 t0:58618.9154444 x0:0.00865554512216 x1:1.40877323009 z:0.0214211229087 
SN294: c:0.0325588696132 t0:58594.2002232 x0:0.000306685327789 x1:1.57282882733 z:0.107035953395 
SN295: c:0.138621538899 t0:58324.0398425 x0:0.000260623098387 x1:4.15504242559 z:0.11543675527 
SN296: c:0.0485835351753 t0:58422.7544619 x0:0.0844830331382 x1:-5.6206466274 z:0.00693066540677 
SN297: c:-0.0397210025279 t0:58559.0990684 x0:0.00346752485064 x1:-4.70698382905 z:0.0335436872498 
SN298: c:0.0594528509774 t0:58511.0238457 x0:0.000324187093165 x1:1.81464206178 z:0.104304418194 
SN299: c:0.113748783301 t0:58434.4652246 x0:0.000725789163494 x1:-0.165755180677 z:0.071345682876 
SN300: c:0.555465365627 t0:58555.8859482 x0:0.000263786904997 x1:0.725922294409 z:0.114793382207 
SN301: c:-0.238411127925 t0:58322.8166546 x0:0.109767561809 x1:0.905330453057 z:0.00608411023611 
SN302: c:0.409392393128 t0:58584.6134256 x0:0.000435503204761 x1:1.44561814438 z:0.0908428276839 
SN303: c:0.216013622093 t0:58345.4511195 x0:0.000978877721769 x1:1.79806664114 z:0.0618520220976 
SN304: c:0.0106706395547 t0:58482.3153531 x0:0.000245131393454 x1:-1.80696080096 z:0.118756422239 
SN305: c:0.183163022795 t0:58357.6013044 x0:0.0002022983657 x1:0.190927598547 z:0.129743802806 
SN306: c:-0.293287534385 t0:58362.6178341 x0:0.000221516711387 x1:4.9447729512 z:0.124439150473 
SN307: c:-0.136361324701 t0:58556.5027969 x0:0.00178066785429 x1:-5.09371901357 z:0.0463736946285 
SN308: c:0.227443513527 t0:58439.1959561 x0:0.000331245240664 x1:1.59303325257 z:0.10326205025 
SN309: c:-0.445065236566 t0:58540.3914417 x0:0.00032269435056 x1:0.214305710302 z:0.104529056086 
SN310: c:0.110434487816 t0:58496.4907518 x0:0.000216769186726 x1:1.444052288 z:0.125686881406 
SN311: c:-0.0962875144559 t0:58620.3153298 x0:0.00106400027051 x1:-0.637300340249 z:0.059429489397 
SN312: c:0.197343443272 t0:58575.016717 x0:0.00139938203315 x1:-1.08040141886 z:0.052095205705 
SN313: c:-0.422827199142 t0:58527.4410966 x0:0.000671716134467 x1:2.37401475659 z:0.0740207961365 
SN314: c:-0.0386921370107 t0:58388.9467609 x0:0.000181450189775 x1:-2.48299862858 z:0.136376551719 
SN315: c:0.180706307826 t0:58369.7709955 x0:0.000562042617075 x1:-1.83292099725 z:0.0805475942805 
SN316: c:-0.0872141653551 t0:58557.3134357 x0:0.0018826392056 x1:0.362305355007 z:0.0451406602829 
SN317: c:-0.0974212014182 t0:58352.988728 x0:0.000395557821713 x1:6.55886527881 z:0.0950393606628 
SN318: c:0.193825823365 t0:58469.8083563 x0:0.00401319603759 x1:2.26955443724 z:0.0312327534299 
SN319: c:0.147391311966 t0:58481.7098324 x0:0.085453875306 x1:2.14251412873 z:0.0068913852456 
SN320: c:-0.132965802882 t0:58504.1671777 x0:0.000187968192761 x1:0.629400323122 z:0.134190759461 
SN321: c:-0.033245125157 t0:58585.5869287 x0:0.0175344783166 x1:-3.55828697686 z:0.0151205473166 
SN322: c:0.0863602630333 t0:58423.01481 x0:0.000676395668677 x1:-0.522730885869 z:0.073777077618 
SN323: c:-0.133959021988 t0:58505.8184072 x0:0.000452463434276 x1:3.99135539218 z:0.0892253188261 
SN324: c:0.312904725337 t0:58472.3589856 x0:0.151090084555 x1:1.10055730685 z:0.0051892708846 
SN325: c:0.564373493917 t0:58448.2219946 x0:0.00773819043765 x1:-1.09549388269 z:0.0226350143915 
SN326: c:0.0754258310363 t0:58593.5624655 x0:0.0479601759162 x1:-2.72378224125 z:0.0091831152444 
SN327: c:-0.244253410656 t0:58354.3369967 x0:0.000187314622738 x1:7.99945900253 z:0.134405037006 
SN328: c:0.0159164514609 t0:58515.8472411 x0:0.0011917417964 x1:5.60386579487 z:0.0562813559254 
SN329: c:0.0229707766072 t0:58544.0216377 x0:0.000539865202573 x1:1.44289363175 z:0.0820954955977 
SN330: c:-0.417197215815 t0:58302.555571 x0:0.00123981093368 x1:-0.68176112118 z:0.0552216307064 
SN331: c:-0.0448104935975 t0:58471.2833438 x0:0.00394691256494 x1:2.58774853633 z:0.0314880284761 
SN332: c:-0.438285950668 t0:58618.4724033 x0:0.0060246913709 x1:2.68089654675 z:0.0255967900277 
SN333: c:0.0865749890807 t0:58614.2705237 x0:0.00307997760324 x1:5.91238732161 z:0.0355396464755 
SN334: c:0.101144818711 t0:58535.8897474 x0:0.000956939524458 x1:1.19227930289 z:0.0625267560099 
SN335: c:0.128677205229 t0:58533.0968011 x0:0.00026849177591 x1:0.478915177604 z:0.113856793538 
SN336: c:-0.444946596585 t0:58557.689438 x0:0.000148234999397 x1:-1.4147727915 z:0.149544136365 
SN337: c:0.330762416279 t0:58542.7440124 x0:0.00298929477479 x1:1.51030985977 z:0.0360609490238 
SN338: c:-0.378645976217 t0:58301.4782568 x0:0.000348896151364 x1:-0.518204312285 z:0.100789565715 
SN339: c:-0.44303319308 t0:58496.5375877 x0:0.00043975707008 x1:-3.2825956943 z:0.0904286849844 
SN340: c:-0.116172394751 t0:58424.227521 x0:0.0289474692863 x1:-1.27789053504 z:0.0117972366139 
SN341: c:0.233953870097 t0:58606.1138213 x0:0.000604188186734 x1:-0.882931161048 z:0.0778367268869 
SN342: c:-0.654084468592 t0:58322.3418863 x0:0.0562798849823 x1:0.803254940479 z:0.00848165871145 
SN343: c:-0.170470356279 t0:58295.3931775 x0:0.000260803836982 x1:0.162979895314 z:0.115399700691 
SN344: c:-0.61603239906 t0:58297.6190047 x0:0.00143883665777 x1:-3.0186834443 z:0.0514017141809 
SN345: c:0.475215051051 t0:58332.2400202 x0:0.000237522009091 x1:-4.7874263673 z:0.120499086722 
SN346: c:0.120363637365 t0:58541.5953416 x0:0.0013563790644 x1:3.66407593443 z:0.0528844543099 
SN347: c:-0.0996365567251 t0:58333.8421241 x0:0.000162854270309 x1:1.39957104525 z:0.14327942852 
SN348: c:0.243208200042 t0:58432.0098294 x0:0.000232613848132 x1:-1.40663270157 z:0.121666058522 
SN349: c:0.299143850016 t0:58528.9086861 x0:0.000162692331648 x1:0.210246543993 z:0.143344410413 
SN350: c:0.098014089317 t0:58575.7850603 x0:0.00355475170499 x1:-2.42323614931 z:0.0331393841162 
SN351: c:0.0772936417283 t0:58555.7854535 x0:0.00822324186447 x1:-2.91991045197 z:0.0219681053359 
SN352: c:-0.124136866823 t0:58654.8565654 x0:0.000346460675894 x1:0.832702840228 z:0.101119907465 
SN353: c:-0.120490012196 t0:58359.8544336 x0:0.000575558608991 x1:4.86156991481 z:0.0796469508975 
SN354: c:-0.428639536288 t0:58462.7973769 x0:0.00079733606139 x1:-0.825779118263 z:0.0682211963512 
SN355: c:-0.24142445903 t0:58357.0983488 x0:0.000444082565366 x1:-3.64360928062 z:0.0900134578747 
SN356: c:0.0446933460584 t0:58392.3091612 x0:0.00226708572839 x1:-0.210348324048 z:0.0412519398155 
SN357: c:0.366954906023 t0:58571.560268 x0:0.000655728733833 x1:0.547309432501 z:0.0748724104257 
SN358: c:-0.063224340496 t0:58384.5650962 x0:0.0006447617284 x1:0.42479133896 z:0.0754742370544 
SN359: c:0.0299197627235 t0:58437.9561342 x0:0.00130230274148 x1:-3.9420441949 z:0.0539305651929 
SN360: c:0.321286427868 t0:58380.7222838 x0:0.00050362388896 x1:4.9001329865 z:0.084833898671 
SN361: c:-0.227722076429 t0:58487.4726596 x0:0.000423981364575 x1:-2.53116462464 z:0.0919945040269 
SN362: c:0.682071964949 t0:58450.8200179 x0:0.000159705259811 x1:3.86088833991 z:0.144559755689 
SN363: c:0.227871445114 t0:58623.9361089 x0:0.000349054841844 x1:2.05916320501 z:0.100768156489 
SN364: c:0.481828409437 t0:58609.4376927 x0:0.081707100675 x1:-0.862610678123 z:0.00704680332043 
SN365: c:-0.255082384341 t0:58479.7876801 x0:0.0001954456659 x1:-8.54863844854 z:0.131812377518 
SN366: c:0.521771049977 t0:58417.0663372 x0:0.00225760442707 x1:0.861400026709 z:0.0413359461074 
SN367: c:0.341468996306 t0:58600.3351402 x0:0.00222089471833 x1:4.37024936376 z:0.041666163042 
SN368: c:-0.522610736827 t0:58330.4817008 x0:0.000155025590885 x1:-4.1501016136 z:0.146530054222 
SN369: c:0.236676113825 t0:58656.6026787 x0:0.00164065925004 x1:-2.85106003657 z:0.0482463968829 
SN370: c:0.293819857429 t0:58390.9479288 x0:0.00038489105481 x1:0.591746875227 z:0.0962647251239 
SN371: c:0.00329225385265 t0:58474.8678559 x0:0.0013585419843 x1:-0.464010096506 z:0.0528438856719 
SN372: c:0.0814796938553 t0:58651.7905829 x0:0.000934917201928 x1:2.04165231696 z:0.0632271643426 
SN373: c:0.195685158682 t0:58575.1936792 x0:0.000399446669734 x1:-2.18568505193 z:0.0946044052387 
SN374: c:-0.113126465131 t0:58393.3153484 x0:0.000673892966155 x1:-1.20740481639 z:0.0739071170544 
SN375: c:-0.146775917068 t0:58415.2442281 x0:0.000258047453182 x1:5.88418973093 z:0.115968837176 
SN376: c:-0.536989321363 t0:58619.9576884 x0:0.00113343933118 x1:-1.39817458907 z:0.0576537801452 
SN377: c:0.280291483127 t0:58636.9904626 x0:0.000418755883695 x1:-0.256430907542 z:0.0925318225682 
SN378: c:-0.196335278938 t0:58318.5927058 x0:0.000223095047638 x1:-2.07749117129 z:0.124032759965 
SN379: c:-0.268375309591 t0:58532.2283329 x0:0.0018936347818 x1:2.46687340847 z:0.0450135629594 
SN380: c:-0.174727485287 t0:58397.4603734 x0:0.000278852822683 x1:3.6497985978 z:0.111874762278 
SN381: c:0.253876736782 t0:58341.0799654 x0:0.00208574113005 x1:1.67475742586 z:0.042954681491 
SN382: c:-0.235000853568 t0:58533.3683507 x0:0.00140749680515 x1:-4.27493153494 z:0.0519502494732 
SN383: c:0.220057573089 t0:58319.7208036 x0:0.000994460730005 x1:3.17141524226 z:0.0613860079264 
SN384: c:-0.360273828783 t0:58439.2593627 x0:0.0193811371323 x1:0.214986499905 z:0.0143899627928 
SN385: c:-0.670471271095 t0:58376.9761714 x0:0.000241539325597 x1:1.89083373258 z:0.119569277446 
SN386: c:0.00659550143821 t0:58589.2969818 x0:0.168591400754 x1:-7.02090200761 z:0.00491355793323 
SN387: c:-0.061472658463 t0:58397.8807642 x0:0.000229048231707 x1:-3.70400879847 z:0.12253612091 
SN388: c:-0.144439415745 t0:58507.8155273 x0:0.00146546686844 x1:1.34013745854 z:0.0509491913249 
SN389: c:-0.146755965497 t0:58333.9584026 x0:0.00054149339879 x1:0.116709114096 z:0.0819787399881 
SN390: c:-0.350732675818 t0:58628.6911103 x0:0.000776783169171 x1:2.54086204224 z:0.0690757204637 
SN391: c:0.12010889675 t0:58544.0568586 x0:0.000212597900348 x1:-3.17225224662 z:0.126815791243 
SN392: c:0.248449883244 t0:58587.7242588 x0:0.000424134700093 x1:-2.73296844772 z:0.0919788814925 
SN393: c:-0.0901086364963 t0:58328.2187732 x0:0.00026516538534 x1:0.0946344746723 z:0.114516507766 
SN394: c:-0.303146066835 t0:58578.1846795 x0:0.069374461323 x1:-0.362900810079 z:0.00764414187177 
SN395: c:-0.0127415768918 t0:58502.0994172 x0:0.000208015801523 x1:-0.237397035947 z:0.128092876516 
SN396: c:0.801202293685 t0:58314.3242138 x0:0.00115908255739 x1:-3.77710091403 z:0.0570377167389 
SN397: c:0.449170286495 t0:58307.6795859 x0:0.000233681341245 x1:-2.76268607423 z:0.121409272535 
SN398: c:0.347910132305 t0:58355.6122241 x0:0.000201071581004 x1:4.2460713387 z:0.130106725969 
SN399: c:-0.20786732891 t0:58561.3435824 x0:0.000196950689344 x1:3.44272063786 z:0.131349296182 
SN400: c:0.489944582478 t0:58300.4320596 x0:0.000264859622228 x1:-0.319528364582 z:0.114577743619 
SN401: c:-0.161591243684 t0:58443.2038367 x0:0.000580760583872 x1:0.639510676301 z:0.0793084426018 
SN402: c:0.047873388466 t0:58346.034105 x0:0.0229996413239 x1:-5.41925714604 z:0.0132210396413 
SN403: c:-0.108554840785 t0:58444.8927145 x0:0.0222591700125 x1:-2.69211639496 z:0.0134369905661 
SN404: c:-0.615352245584 t0:58325.0545109 x0:0.00091263537107 x1:1.77898768196 z:0.0639607524782 
SN405: c:0.291795734629 t0:58589.1833836 x0:0.000342537106145 x1:-4.60906488585 z:0.10165917649 
SN406: c:0.148862766429 t0:58329.5475106 x0:0.000531786804117 x1:-0.133044729168 z:0.0826824184099 
SN407: c:0.262209180198 t0:58578.0586013 x0:0.000326068456436 x1:6.08114854368 z:0.104023406151 
SN408: c:-0.0955840037135 t0:58345.7596912 x0:0.000453201487961 x1:-6.55193709597 z:0.0891569226603 
SN409: c:-0.106373687585 t0:58549.1066229 x0:0.0222478640136 x1:-4.71640056617 z:0.0134403706294 
SN410: c:0.230482003905 t0:58631.2078775 x0:0.000224196208545 x1:-0.914598901646 z:0.123751655571 
SN411: c:0.231511518168 t0:58430.1518899 x0:0.00194692286503 x1:3.26076334056 z:0.0444126321703 
SN412: c:-0.166584844859 t0:58386.1479823 x0:0.0190763368206 x1:1.95184298925 z:0.0145032489951 
SN413: c:0.327959877134 t0:58320.3892347 x0:0.000296584626022 x1:0.791489351421 z:0.108716496557 
SN414: c:0.0627807402038 t0:58412.4566479 x0:0.000470704866136 x1:-0.822117153345 z:0.0875806001102 
SN415: c:0.024089185618 t0:58529.661529 x0:0.000559723552236 x1:1.58580195129 z:0.0807052844442 
SN416: c:-0.200705796726 t0:58443.7921185 x0:0.000450747585507 x1:-2.03849046476 z:0.0893849528954 
SN417: c:-0.278645374078 t0:58367.3047353 x0:0.00169962474334 x1:2.98824096952 z:0.0474301204575 
SN418: c:0.0351725853169 t0:58369.1840422 x0:0.00106746181 x1:0.839688856773 z:0.0593369935676 
SN419: c:0.0205947306893 t0:58300.1560031 x0:0.000449659383608 x1:-2.93331397685 z:0.0894866493903 
SN420: c:0.342076888982 t0:58402.6982923 x0:0.000792017346567 x1:1.02456706363 z:0.068439232533 
SN421: c:-0.198133073685 t0:58296.2292551 x0:0.407920912072 x1:-1.08556551941 z:0.00316296428948 
SN422: c:0.0327604233668 t0:58607.6642807 x0:0.00119611850925 x1:0.662551701798 z:0.0561822970693 
SN423: c:0.658169983871 t0:58329.7485441 x0:0.0627815847867 x1:1.70515481503 z:0.00803316047334 
SN424: c:0.294683652232 t0:58559.3882171 x0:0.00187175839014 x1:1.24946042308 z:0.045267509332 
SN425: c:0.481851508681 t0:58602.3846768 x0:0.000500645351432 x1:0.202624003264 z:0.0850716195144 
SN426: c:-0.284429237791 t0:58568.7072517 x0:0.000183631377193 x1:-2.02054237301 z:0.135632822086 
SN427: c:-0.513396010388 t0:58501.2660276 x0:0.000307643993482 x1:-2.63075501839 z:0.106880582181 
SN428: c:-0.194856172922 t0:58640.3934149 x0:0.000318752932388 x1:0.139307310449 z:0.105129431246 
SN429: c:0.5248541834 t0:58580.7912239 x0:0.00310132262899 x1:-5.3525785886 z:0.0354202236341 
SN430: c:-0.544079332271 t0:58629.852052 x0:0.0548321720786 x1:3.15031226653 z:0.00859219045963 
SN431: c:0.183692402095 t0:58439.7256658 x0:0.00028758369275 x1:-1.2025182602 z:0.110284780448 
SN432: c:0.230024761312 t0:58510.462601 x0:0.00316288765089 x1:3.042844366 z:0.0350824627009 
SN433: c:0.0310598839459 t0:58648.8779033 x0:0.000270914162136 x1:6.48039781863 z:0.11338369022 
SN434: c:-0.274439114572 t0:58523.692723 x0:0.00954832160781 x1:2.85014516265 z:0.0204103323642 
SN435: c:0.00921286690249 t0:58328.1777381 x0:0.0010161139755 x1:-0.2812787157 z:0.0607558717982 
SN436: c:0.358609073339 t0:58447.1395283 x0:0.0013661497051 x1:-2.48502834835 z:0.0527019402662 
SN437: c:0.221345801673 t0:58604.3866432 x0:0.000264787315287 x1:-8.28138535831 z:0.114592239492 
SN438: c:0.0413604563516 t0:58386.4871616 x0:0.00111344615866 x1:-1.19227987395 z:0.0581484185383 
SN439: c:-0.0962190350747 t0:58607.3817401 x0:0.000775552784187 x1:-0.551058193815 z:0.0691279187773 
SN440: c:-0.640615583421 t0:58634.739621 x0:0.00189202753636 x1:-7.29602907978 z:0.0450320732795 
SN441: c:0.449127283283 t0:58382.7374435 x0:0.000301021914104 x1:-1.15794021509 z:0.107968261863 
SN442: c:0.0512361192164 t0:58352.5343702 x0:0.000532180831074 x1:3.85117977696 z:0.0826534921301 
SN443: c:0.0199440319173 t0:58472.9579364 x0:0.000500150010157 x1:-4.22394299922 z:0.0851113517999 
SN444: c:-0.152870045415 t0:58581.7085591 x0:0.000151948983568 x1:2.45996093594 z:0.147871975251 
SN445: c:0.249088400806 t0:58478.7232356 x0:0.00220972014942 x1:0.339892896925 z:0.0417682811746 
SN446: c:-0.479512497851 t0:58653.3091021 x0:0.00411979842373 x1:0.539772192519 z:0.0308350092622 
SN447: c:-0.630197421042 t0:58357.3000218 x0:0.000237346709145 x1:-2.26564968131 z:0.120540171315 
SN448: c:0.202554443112 t0:58292.2051093 x0:0.0564759834031 x1:1.90937084427 z:0.00846701312598 
SN449: c:-0.47694373954 t0:58429.4191646 x0:0.000367769215145 x1:-1.35943476796 z:0.098337501405 
SN450: c:-0.0254597180462 t0:58304.9798035 x0:0.00461577162629 x1:-0.385039846982 z:0.0291669670093 
SN451: c:-0.533277688043 t0:58398.1555838 x0:0.000733879755593 x1:-2.27002443485 z:0.0709702874484 
SN452: c:0.0861187447976 t0:58369.570781 x0:0.0029609461239 x1:3.72055220064 z:0.0362287262105 
SN453: c:-0.122407269735 t0:58536.8461207 x0:0.00137695046583 x1:3.07620836912 z:0.0525023957279 
SN454: c:0.19221768053 t0:58467.1759243 x0:0.00404726105631 x1:-1.43516612608 z:0.03110397111 
SN455: c:0.142662713942 t0:58395.6046173 x0:0.00332638799787 x1:-1.41906877747 z:0.0342307100304 
SN456: c:0.162096640349 t0:58622.0292629 x0:0.000319511272253 x1:-6.58428324872 z:0.105013091335 
SN457: c:0.377741933788 t0:58337.1856241 x0:0.00079496521981 x1:1.42150129048 z:0.0683181246502 
SN458: c:0.290024488154 t0:58366.749077 x0:0.00169532295875 x1:5.82087621305 z:0.0474882584111 
SN459: c:-0.0554264337432 t0:58327.1656096 x0:0.000586738713259 x1:1.59946746889 z:0.0789248149797 
SN460: c:0.0644540472975 t0:58424.9192845 x0:0.00508155918835 x1:4.44105032036 z:0.0278254847166 
SN461: c:0.0352817870032 t0:58600.2446838 x0:0.000604015292325 x1:-3.96850800255 z:0.0778472837796 
SN462: c:-0.526655199448 t0:58454.4114462 x0:0.000178836347142 x1:-0.318075465037 z:0.137284732449 
SN463: c:0.077354819934 t0:58514.3523994 x0:0.00249800958419 x1:-1.03050115124 z:0.0393533372172 
SN464: c:0.0178874968621 t0:58383.8188297 x0:0.00264610539802 x1:0.840517327264 z:0.0382665256152 
SN465: c:0.137369944394 t0:58646.2434238 x0:0.000164193196165 x1:-1.05134674748 z:0.142745642807 
SN466: c:-0.271834162655 t0:58434.461267 x0:0.000370799069463 x1:-1.97637601318 z:0.0979606947728 
SN467: c:0.0508241761533 t0:58334.6748702 x0:0.0197154867512 x1:1.73148171742 z:0.0142687070619 
SN468: c:0.158531191066 t0:58434.7552047 x0:0.00079634198317 x1:1.48989075092 z:0.0682617866031 
SN469: c:0.420960026051 t0:58373.1227054 x0:0.00169304803849 x1:-1.21527225985 z:0.04751909122 
SN470: c:0.0249405811239 t0:58370.3914024 x0:0.000353616563055 x1:0.321629944943 z:0.100158650765 
SN471: c:0.0153933435889 t0:58544.1475963 x0:0.00185891366411 x1:-1.71829510505 z:0.0454186552937 
SN472: c:-0.229734866138 t0:58302.5084596 x0:0.000284536817192 x1:2.87737753459 z:0.110831694985 
SN473: c:-0.473309972582 t0:58435.8860725 x0:0.000423320739585 x1:3.9068154179 z:0.0920619049157 
SN474: c:0.18668545676 t0:58300.1315421 x0:0.000234013966964 x1:0.46440892033 z:0.121329601517 
SN475: c:0.214794266685 t0:58443.9132063 x0:0.000161881907322 x1:0.421478333417 z:0.143670997964 
SN476: c:-0.0636969155069 t0:58414.0104538 x0:0.000151641502814 x1:-1.44201970133 z:0.148008205329 
SN477: c:0.495077331744 t0:58324.2928029 x0:0.0363603651508 x1:-0.750710400805 z:0.0105360748653 
SN478: c:0.0985736132165 t0:58297.7050768 x0:0.000185486041128 x1:3.95368134154 z:0.135010246154 
SN479: c:-0.0549004344857 t0:58337.4763568 x0:0.000560879386142 x1:-1.61043457223 z:0.0806265727618 
SN480: c:-0.429056114181 t0:58371.8285583 x0:0.0164629609526 x1:2.7977106071 z:0.015599324431 
SN481: c:0.0823428517196 t0:58418.0798817 x0:0.0334077174496 x1:-4.16305071741 z:0.010988122728 
SN482: c:0.204214931689 t0:58430.6655515 x0:0.000332685046413 x1:-5.44078018867 z:0.103053329875 
SN483: c:0.488234041484 t0:58391.7245388 x0:0.00111246991281 x1:-0.352609418955 z:0.0581729033378 
SN484: c:-0.111581271795 t0:58303.4995191 x0:0.000490328958959 x1:2.42311854068 z:0.0859110594629 
SN485: c:0.326796227178 t0:58563.8621297 x0:0.000406861487937 x1:-5.31572518989 z:0.0937917628853 
SN486: c:-0.0606374851296 t0:58420.8705726 x0:0.000440373404427 x1:4.81184622115 z:0.090369160253 
SN487: c:-0.211571114701 t0:58529.2880752 x0:0.000199086421063 x1:1.70836159023 z:0.130700735317 
SN488: c:0.046389084757 t0:58379.6851692 x0:0.000172860413433 x1:-1.82921934314 z:0.139433833091 
SN489: c:-0.0692612805049 t0:58557.1762209 x0:0.000219000389514 x1:-1.97918498564 z:0.125095675339 
SN490: c:0.164558028309 t0:58479.7993906 x0:0.000661828773174 x1:0.429329932585 z:0.0745439513453 
SN491: c:0.0275495013477 t0:58374.2958535 x0:0.00015308541616 x1:4.27355894306 z:0.147371847547 
SN492: c:-1.12638804251 t0:58625.1139525 x0:0.00215961985138 x1:2.52912587684 z:0.0422356331351 
SN493: c:-0.397866246698 t0:58546.9913499 x0:0.00127485867425 x1:-0.699304564323 z:0.054486139158 
SN494: c:-0.081379793717 t0:58361.1094758 x0:0.000463420286738 x1:-2.42102545511 z:0.0882261783123 
SN495: c:0.131206539251 t0:58365.4044941 x0:0.00459757030756 x1:-0.552964110214 z:0.0292234334129 
SN496: c:0.389855271721 t0:58415.1906203 x0:0.000745729560057 x1:-3.82234719316 z:0.0704312001423 
SN497: c:-0.162478736921 t0:58509.6347016 x0:0.00208733901907 x1:-2.16090042995 z:0.0429387346447 
SN498: c:-0.0835250853974 t0:58388.5067342 x0:0.000396217135927 x1:0.909936536165 z:0.0949651854545 
SN499: c:-0.255284741443 t0:58592.7065425 x0:0.00671200284815 x1:-5.92468559997 z:0.0242744637175 
SN500: c:0.318366480363 t0:58526.4259794 x0:0.000330352550316 x1:0.60849042865 z:0.103392114547 
