SN1: c:-0.07048747142890122 mwebv:0.03030455100765922 t0:58790.64835070917 x0:0.00038329264098275963 x1:-0.658169335026904 z:0.111197220311 
SN184: c:0.042925987889134376 mwebv:0.011709029893234434 t0:58846.70818180218 x0:0.00048486930873915736 x1:0.33938354202372967 z:0.0896924977087 
SN185: c:0.0757841361908187 mwebv:0.06893651771474013 t0:58599.9925933762 x0:0.00020657379071550483 x1:1.08817292057598 z:0.144065898668 
SN186: c:-0.08305632048661193 mwebv:0.17775063660936494 t0:58904.07492341578 x0:0.0002608333287276958 x1:0.027328618112404612 z:0.132439834214 
SN187: c:-0.14065528447769715 mwebv:0.05296423887314508 t0:58827.817625683834 x0:0.00011886468055366033 x1:-0.16506057879538094 z:0.149685504582 
SN188: c:-0.06526918281246363 mwebv:0.04613105302139219 t0:58865.040158232696 x0:0.00038983365998936694 x1:-0.2830811274531069 z:0.114018967952 
SN189: c:-0.05313678016343015 mwebv:0.011713289331983836 t0:58753.03951842924 x0:0.0003930625456564144 x1:0.278044527709405 z:0.110472945353 
SN190: c:-0.09732781746573815 mwebv:0.013394966464716319 t0:58748.374379490466 x0:0.004451172890895293 x1:-0.0303721389995113 z:0.0397265553727 
SN191: c:-0.08402869677530234 mwebv:0.02643310475988494 t0:58730.7296485208 x0:0.00029283361611529436 x1:-0.0709578910069184 z:0.127928709992 
SN192: c:-0.038230884792332276 mwebv:0.3658503487684576 t0:58773.438593267514 x0:0.002674934090580943 x1:0.6027741181368684 z:0.0427379871694 
SN193: c:-0.07582805537816695 mwebv:0.020278169568220334 t0:58561.994487181684 x0:0.0004695031976197817 x1:-0.6944670607611805 z:0.0965202537475 
SN194: c:0.010055226246258986 mwebv:0.022343105060852672 t0:58755.09802625299 x0:0.0005345965614065374 x1:1.2103588937023 z:0.11907155034 
SN195: c:0.17186252133519941 mwebv:0.13195317577361484 t0:58849.87203062894 x0:0.0003964857160061687 x1:0.6147707368009359 z:0.121816648115 
SN196: c:0.07238574158217093 mwebv:0.12227955153107159 t0:58892.94179458814 x0:0.0003411665466301332 x1:-0.02693378240629407 z:0.121371369212 
SN197: c:0.12818798689025446 mwebv:0.07520317093693961 t0:58798.1569349792 x0:0.00026944819168166044 x1:1.12204843749325 z:0.137087650124 
SN198: c:-0.0664051017253362 mwebv:0.570436393319752 t0:58861.1562325448 x0:0.0002656049103005018 x1:-0.09122625420126695 z:0.110750526738 
SN199: c:-0.02907593893063254 mwebv:0.06382931602843295 t0:58672.945056996534 x0:0.001005531674330282 x1:0.5992493845512046 z:0.0596729802108 
SN200: c:0.20585098636963117 mwebv:0.014802555738953019 t0:58869.54564479338 x0:0.00024038132931023147 x1:0.3410755578463154 z:0.124440006923 
SN201: c:-0.049662946739858604 mwebv:0.017572217390820818 t0:58713.39143311155 x0:0.00017768901714336884 x1:-2.216508787066373 z:0.144698570117 
SN202: c:0.0725362410668029 mwebv:0.03734357678489163 t0:58661.030203124414 x0:0.00027976015200856236 x1:0.28926043380843325 z:0.115428767973 
SN203: c:0.11281901446796727 mwebv:0.03666740753642622 t0:58852.477714613364 x0:0.0003833628334183478 x1:-0.03786605047642677 z:0.0834150414099 
SN204: c:-0.07743469646401913 mwebv:0.11247468880367222 t0:58862.7581422438 x0:0.000892991465940936 x1:-0.29490122360686133 z:0.0770549200812 
SN205: c:-0.02902778905855552 mwebv:0.056595841110822845 t0:58771.417834294814 x0:0.00013296772992915006 x1:0.10629690874670894 z:0.149980784057 
SN206: c:-0.1194183717854802 mwebv:0.04488073006618104 t0:58603.402160203506 x0:0.0002893057372907401 x1:0.40429238708360504 z:0.12511939039 
SN207: c:-0.08086880535154606 mwebv:0.12357888178441634 t0:58877.38735206207 x0:0.002519290483397512 x1:-0.8801816109716531 z:0.0409643032663 
SN208: c:-0.019229189227802035 mwebv:0.11741154530836012 t0:58752.92449659313 x0:0.00023015618184894573 x1:0.6616264621879715 z:0.135169160996 
SN209: c:0.08398029528926365 mwebv:0.04283709312298366 t0:58913.623495501924 x0:0.00022122866024781214 x1:-0.984797701922556 z:0.123963142503 
SN210: c:0.2255891877095877 mwebv:0.02395727517758969 t0:58763.844405611875 x0:0.00013909535730991258 x1:0.9095967527097457 z:0.138729928071 
SN211: c:-0.07452160336045699 mwebv:0.28517749866255215 t0:58648.76181928544 x0:0.00046521084174894266 x1:-0.25443370719424374 z:0.112548805702 
SN212: c:0.03971341156913688 mwebv:0.05664678986291395 t0:58876.926156826245 x0:0.00017577430015720547 x1:-0.4878248100388509 z:0.137991196047 
SN213: c:-0.03271770424722931 mwebv:0.20815923926558294 t0:58622.89545111109 x0:0.00021999207867097738 x1:0.888592400302664 z:0.121203380809 
SN214: c:-0.019754952942341752 mwebv:0.08997459525183936 t0:58903.30388487331 x0:0.00031083916171783984 x1:0.2995596333017394 z:0.133457756226 
SN215: c:-0.10012196862092138 mwebv:0.061759242148499774 t0:58610.419684076376 x0:0.0004493487859446878 x1:-0.42509398473458315 z:0.0996927060048 
SN216: c:-0.09540584126215679 mwebv:0.10774559892320021 t0:58670.51743833304 x0:0.0010612185919196783 x1:0.311006492449037 z:0.0621645146283 
SN217: c:-0.006956753015691319 mwebv:0.08576505785449205 t0:58676.747197949066 x0:0.0007322090502181063 x1:-1.293339798263032 z:0.0808336500389 
SN218: c:0.10554068945995798 mwebv:0.08171319547992022 t0:58702.987517254776 x0:0.000617739196927582 x1:0.42194638748075475 z:0.0797609336202 
SN219: c:-0.018080108918604232 mwebv:0.0072837045703924635 t0:58611.612370602874 x0:0.0005839419652754767 x1:-0.9515211984820233 z:0.0810596755446 
SN220: c:0.11276212716653955 mwebv:0.11666173171240057 t0:58835.023405990854 x0:0.0003090768184957306 x1:0.803791326119712 z:0.0954880378936 
SN221: c:-0.05705830680238311 mwebv:0.03722940491450813 t0:58780.264299479146 x0:0.0002688106360497182 x1:-0.27017536849959756 z:0.12778803607 
SN222: c:0.08492600084622026 mwebv:0.0465959098089001 t0:58813.27591720985 x0:0.0008332717069605709 x1:0.6280113516851347 z:0.0683521684395 
SN223: c:0.03820510074418415 mwebv:0.09316674865987584 t0:58862.02196124363 x0:0.0008132619424208696 x1:-0.611648500082338 z:0.0570506210867 
SN224: c:-0.025482993356520378 mwebv:0.12695198452833678 t0:58578.521520323615 x0:0.00022253594214934421 x1:1.3060945341646928 z:0.111863520528 
SN225: c:0.07700002874446721 mwebv:4.945585600053141 t0:58878.137809730695 x0:0.0003166198922111276 x1:0.05007751533134153 z:0.135755750049 
SN226: c:-0.032839068250534176 mwebv:0.11486388404161396 t0:58763.326105725595 x0:0.00014571095530759834 x1:0.4048827695244155 z:0.149057756469 
SN227: c:-0.04182448970943753 mwebv:0.05058098369054118 t0:58563.10009710407 x0:0.00015069617755664855 x1:-1.0526420721043197 z:0.143942267557 
SN228: c:-0.054199246150030245 mwebv:0.03400266142478288 t0:58855.09204160477 x0:0.000845012760495241 x1:1.039469530014892 z:0.0731194440292 
SN229: c:-0.05430908038227589 mwebv:0.008272240339311756 t0:58793.82998513917 x0:0.002924582060460714 x1:0.8129722211203321 z:0.029704728466 
SN230: c:0.022258013413428035 mwebv:0.30439069595711177 t0:58850.74255227677 x0:0.0007298881969683489 x1:0.09731130352707318 z:0.0804394547294 
SN231: c:-0.08381906711439324 mwebv:0.27481057304596157 t0:58827.092524956235 x0:0.00033534095694287536 x1:0.1855600170609879 z:0.103790252476 
SN232: c:0.11439652496496677 mwebv:0.041815716618391736 t0:58719.84038637485 x0:0.00022978648491090692 x1:0.3919444539611323 z:0.135271070913 
SN233: c:0.06927090751019271 mwebv:0.044139373156991374 t0:58784.04017754464 x0:0.00025200275484793614 x1:1.6906809918331636 z:0.132093665535 
SN234: c:-0.04331811625891202 mwebv:0.044603885849711415 t0:58731.13669914959 x0:0.00021556789800073 x1:0.4850473640057329 z:0.110194434905 
SN235: c:0.008075882374415144 mwebv:0.17162481397331913 t0:58570.96220619181 x0:0.0002597321007081374 x1:0.4133782340838241 z:0.147758228851 
SN236: c:-0.11106031335842736 mwebv:0.07529917883282611 t0:58588.18555470928 x0:0.00011459757540827902 x1:0.35086786249204716 z:0.139630640054 
SN237: c:0.0020739496989072848 mwebv:0.11030006440043053 t0:58888.65815464742 x0:0.000740397726475687 x1:0.4479012067287078 z:0.0752820963329 
SN238: c:0.2072360618414404 mwebv:0.045811968045452 t0:58828.80164184741 x0:0.00029448768023285926 x1:-0.8871204131555777 z:0.133872145798 
SN239: c:0.32819134818508555 mwebv:0.07668316989716867 t0:58595.10105040591 x0:0.00011058715541670693 x1:-0.0534628771153276 z:0.148690699925 
SN240: c:-0.02000720721719862 mwebv:0.05706430063029484 t0:58790.48516540062 x0:0.0006747625307591248 x1:0.45433108095573704 z:0.0766591456527 
SN241: c:-0.07014142843614257 mwebv:0.009898490306555456 t0:58873.07011860283 x0:0.00013470011045092244 x1:-0.29782049869224814 z:0.149664413578 
SN242: c:-0.013867530238495629 mwebv:0.19434586628673306 t0:58833.938589105586 x0:0.007214432621986028 x1:-0.676629886375939 z:0.0239747679638 
SN243: c:-0.04112280843557503 mwebv:0.13783528295989647 t0:58820.556301788514 x0:0.00035423530146292347 x1:-1.5211826027119308 z:0.100761086729 
SN244: c:-0.08748587816700759 mwebv:0.01300445172381988 t0:58726.93847506213 x0:0.00025716107450624997 x1:-1.0266628457682963 z:0.135376362637 
SN245: c:-0.0835414928144198 mwebv:0.13197790394302586 t0:58605.666810513765 x0:0.00032664145392322677 x1:-0.18599514566229747 z:0.114422779164 
SN246: c:-0.07153884508607433 mwebv:0.022049851407502735 t0:58629.28684166025 x0:0.00016182445262434979 x1:-0.13939627361730622 z:0.139974124375 
SN247: c:-0.07265115383926624 mwebv:0.057129199829632625 t0:58590.22825458164 x0:0.00025166345097838816 x1:-0.032553487510671886 z:0.128017332006 
SN248: c:-0.06186522186326071 mwebv:0.21038207985145765 t0:58654.877390887734 x0:0.0007000336529245036 x1:-0.3135785117601446 z:0.0802773575884 
SN249: c:0.10635116932345579 mwebv:0.17210105785317598 t0:58587.10032201362 x0:0.00011820771860851762 x1:0.7774828429917862 z:0.142481706692 
SN250: c:-0.023894063599494864 mwebv:0.03639401100819134 t0:58599.37538662496 x0:0.0005803341094618005 x1:0.8961019153737979 z:0.0973497331839 
SN251: c:-0.05166172924598378 mwebv:0.41207009598432076 t0:58646.53910374543 x0:0.0003738170295729984 x1:-0.6388089606411067 z:0.0978188861457 
SN252: c:0.07313364727966443 mwebv:0.017322865982942345 t0:58601.08645306259 x0:0.0001839072614797831 x1:0.4251862727728657 z:0.13606154638 
SN253: c:-0.09014146055812144 mwebv:0.015399492673293418 t0:58689.28156352192 x0:0.00026713035492435474 x1:0.5523598729312971 z:0.123481902673 
SN254: c:-0.03749920825752362 mwebv:0.03676423640162085 t0:58910.46207592465 x0:0.00020050968738131954 x1:0.3591980888869477 z:0.131130485242 
SN255: c:0.0010440522900783122 mwebv:0.04349741089321187 t0:58718.77088049719 x0:0.000183931068878405 x1:-0.15928113817125666 z:0.145717404547 
SN256: c:-0.05286568275255643 mwebv:0.013910605652059392 t0:58805.28016155355 x0:0.0006540699237015026 x1:0.45128047416572326 z:0.0812858264536 
SN257: c:0.017114302882823562 mwebv:0.19650289736855894 t0:58697.68933517258 x0:0.00023715332286100557 x1:-0.753868791012394 z:0.1319424173 
SN258: c:0.03542162255355308 mwebv:0.05008441649019139 t0:58693.031416191734 x0:0.000478183304437095 x1:0.40418258395616036 z:0.104730959251 
SN259: c:-0.010900612077048066 mwebv:0.31710145863376177 t0:58811.756995822245 x0:0.0002408983888655371 x1:-0.2013931663845705 z:0.125765196723 
SN260: c:-0.04593606132461936 mwebv:0.012455077261041567 t0:58622.5319717724 x0:0.00019729895194422968 x1:0.37691184719930426 z:0.143993084553 
SN261: c:-0.04974942177489616 mwebv:0.30523559800013766 t0:58665.22576511525 x0:0.0003752630276179023 x1:0.84823468310117 z:0.0957012365637 
SN262: c:0.07681409912328707 mwebv:0.1342781811127648 t0:58858.60563558638 x0:0.0003374005525529743 x1:0.5183449216414049 z:0.0908192259914 
SN263: c:0.015615304051171286 mwebv:0.2958429246910116 t0:58667.30996216926 x0:0.0001537778020467476 x1:0.6621650431274686 z:0.146172100103 
SN264: c:-0.001381040277164125 mwebv:2.5665339182697586 t0:58771.84327946388 x0:0.00016218915503346854 x1:-0.6235525484135112 z:0.125221965465 
SN265: c:-0.02199370374367593 mwebv:0.16732535015507025 t0:58579.20670791977 x0:0.0001824543560065059 x1:-0.6654690608851928 z:0.135045208601 
SN266: c:-0.026950972403718243 mwebv:0.03584239794262966 t0:58672.37153543993 x0:0.0002560843625662744 x1:-0.12745937691469056 z:0.132550315767 
SN267: c:0.1707010385687222 mwebv:0.07425874567257097 t0:58921.408521621765 x0:0.00030045580176081847 x1:0.06314596465850375 z:0.116430576633 
SN268: c:0.031125643916566137 mwebv:0.04859061000372405 t0:58747.39564652862 x0:0.0001896020948708635 x1:0.8709246736455194 z:0.137741718559 
SN269: c:-0.07756525903516831 mwebv:0.3205774610539098 t0:58703.6141151449 x0:0.0003025701911386604 x1:-0.9130207667248045 z:0.14466932965 
SN270: c:0.14281467688714944 mwebv:0.040796944926620726 t0:58591.44584438686 x0:0.00024322300909656078 x1:0.37770573060804313 z:0.140733518835 
SN271: c:-0.028661385165363207 mwebv:0.014839677680091841 t0:58590.224098231476 x0:0.0002845345127414511 x1:-0.5448350506488779 z:0.130949560434 
SN272: c:-0.13462375119696102 mwebv:0.10230884869062347 t0:58719.42774237757 x0:0.0014494464028879405 x1:0.9560040179023255 z:0.0573028093135 
SN273: c:-0.0057319413665561925 mwebv:0.34928013479097264 t0:58581.04454466767 x0:0.00022318636162440756 x1:-0.0036793973268336444 z:0.120763565078 
SN274: c:0.05691133762347356 mwebv:0.3141600253506445 t0:58795.88885944737 x0:0.0001557237800012184 x1:0.9425149686021124 z:0.116927110469 
SN275: c:-0.0020992108006132604 mwebv:0.4701752341162572 t0:58743.229647076936 x0:0.00015070140897925795 x1:-0.5718828157859335 z:0.145299665451 
SN276: c:-0.02127997846643037 mwebv:0.19621487872715646 t0:58726.66728790247 x0:0.000136521574433035 x1:-0.12416728933570376 z:0.125738808084 
SN277: c:0.030092741305154824 mwebv:0.0684857004209949 t0:58604.77106833329 x0:0.00041703941580580327 x1:-1.9649382504866695 z:0.117986221786 
SN278: c:0.037331370415333076 mwebv:1.254784033012709 t0:58766.15738137166 x0:0.0005803139319257368 x1:0.6487067079416065 z:0.0794750514238 
SN279: c:0.06501982505111092 mwebv:0.03737892644123244 t0:58760.801984805155 x0:0.00015744061400133717 x1:0.17138716976093393 z:0.133493712939 
SN280: c:0.13036582437925404 mwebv:0.015656588212131138 t0:58657.85865511884 x0:0.00015064714102380104 x1:-0.11905935509482557 z:0.135595665925 
SN281: c:-0.11130032563003267 mwebv:0.013415818190921906 t0:58855.026261758656 x0:0.00021380191511223857 x1:0.09210685388325679 z:0.14033640474 
SN282: c:0.010424300565663902 mwebv:0.1111720869120727 t0:58693.5484188327 x0:0.0002452722071246159 x1:-0.32349944305890066 z:0.129538822664 
SN283: c:-0.04145545148744523 mwebv:0.07009834164565792 t0:58856.765078376724 x0:0.0002169673282348222 x1:0.7027545567889351 z:0.127706801695 
SN284: c:0.04076393984162818 mwebv:0.0769695740770106 t0:58627.162088579804 x0:0.0004313280500372305 x1:-0.2820100350399093 z:0.114810562361 
SN285: c:-0.0036956688440747953 mwebv:0.20253150342758205 t0:58722.199818911504 x0:0.0007285933431797948 x1:-0.29558456805901745 z:0.090290374799 
SN286: c:-0.09224621899748353 mwebv:0.015420679117968052 t0:58825.6787939496 x0:0.0004393236814852733 x1:0.41084813625960237 z:0.106273387983 
SN287: c:-0.07951115267329945 mwebv:1.638133626558697 t0:58907.71650450947 x0:0.0002734367401968363 x1:0.649479295402883 z:0.109162293295 
SN288: c:-0.03861869290321174 mwebv:0.04702992487076576 t0:58578.63061885561 x0:0.0007626577154312199 x1:-0.8703513786033912 z:0.0952926225271 
SN289: c:0.030683407277082075 mwebv:0.010783269754041053 t0:58911.667747895735 x0:0.001411254607451917 x1:0.07691899656069712 z:0.0720765883005 
SN290: c:-0.04149927598974834 mwebv:0.05162909152085808 t0:58744.540491154934 x0:0.0005835956373428463 x1:-0.001314524833971653 z:0.074602465748 
SN291: c:0.08279265423060078 mwebv:0.3234053525443796 t0:58876.461539004995 x0:0.00012270387588108302 x1:0.5978220812479149 z:0.140486016811 
SN292: c:0.031290437161061835 mwebv:0.024483196008486335 t0:58825.362532743675 x0:0.00017236247767699005 x1:0.06153639070556016 z:0.132516668948 
SN293: c:0.04524074673266565 mwebv:0.011830919429005878 t0:58874.12057583323 x0:0.0005975922167136921 x1:0.4081703617850625 z:0.100634805632 
SN294: c:0.09854181630398795 mwebv:0.1270938283764711 t0:58725.6481754168 x0:0.0004027924908120025 x1:-0.6878675192217125 z:0.107069676671 
SN295: c:-0.009026720836433189 mwebv:0.07088447110582297 t0:58762.38267956764 x0:0.0005886186946085527 x1:0.7480892188864638 z:0.0740518300593 
SN296: c:-0.07933190226133746 mwebv:0.22078999437254737 t0:58572.233076333905 x0:0.000147764766883008 x1:-0.45260601909104015 z:0.146280231377 
SN297: c:0.0146804446765052 mwebv:0.3772465247556228 t0:58772.49797459574 x0:0.00026512239941445205 x1:0.7905328295359277 z:0.125496933978 
SN298: c:-0.046647602105013064 mwebv:0.10697952493346556 t0:58863.34758536113 x0:0.000415355178152804 x1:1.2974742744574446 z:0.100829881583 
SN299: c:0.11751313328986512 mwebv:0.026211027912265684 t0:58735.73006983612 x0:0.00022078748077049423 x1:-0.7165303714967504 z:0.106950004033 
SN300: c:-0.05974386944871446 mwebv:0.128381809142374 t0:58717.576200590556 x0:0.0002945631781265253 x1:1.1667653602405714 z:0.138059177716 
SN301: c:0.05896020745440156 mwebv:2.7695382085446507 t0:58793.48902301062 x0:0.0003095389469722827 x1:-0.6655575706065959 z:0.133192029225 
SN302: c:-0.06223240192107493 mwebv:0.6631733076606887 t0:58770.44605772309 x0:0.00090210447638782 x1:-0.4588883788544629 z:0.0678684153011 
SN303: c:-0.0749341777816972 mwebv:0.025306298171810196 t0:58664.221895373106 x0:0.0010169849499688385 x1:-0.9199056009903464 z:0.0650289098128 
SN304: c:0.11268235608899246 mwebv:0.026116426972478794 t0:58597.288703784056 x0:0.0009255173082252793 x1:-0.9578735319043346 z:0.0814396328221 
SN305: c:-0.09872287236862132 mwebv:0.04400670340148562 t0:58815.82418461334 x0:0.00026251992459798884 x1:0.6160546685031241 z:0.125584826934 
SN306: c:0.18123542902439382 mwebv:0.040529075518811096 t0:58748.56768903383 x0:0.0009422253326176061 x1:0.31128589018421593 z:0.076493071157 
SN307: c:-0.0602619630789305 mwebv:0.05825429176172301 t0:58599.61295688338 x0:0.0001357077740886171 x1:-0.7511258103646568 z:0.144853081791 
SN308: c:-0.06120071313386788 mwebv:0.047831621120179864 t0:58892.71761408801 x0:9.327537485183739e-05 x1:0.5296801450079012 z:0.148563174959 
SN309: c:0.12275309583267502 mwebv:0.08928148823884345 t0:58753.99964341108 x0:0.0005579003276647096 x1:-0.8596064354520374 z:0.0812645711041 
SN310: c:-0.05985913149556232 mwebv:0.016429470252958506 t0:58773.67589344121 x0:0.00014794412931474137 x1:-1.866129163665744 z:0.146919125679 
SN311: c:-0.01470523923568745 mwebv:0.00841323434722376 t0:58767.60545558805 x0:0.0009634110698738032 x1:0.15660336597510405 z:0.0815631896051 
SN312: c:0.007373489084091744 mwebv:0.009162728830183453 t0:58906.07040944251 x0:0.00021307299538963549 x1:0.7310955807600772 z:0.114963759233 
SN313: c:0.10110317044532824 mwebv:0.05474019548152474 t0:58599.95709114657 x0:0.0001272014628842996 x1:0.7969998081738296 z:0.146986879177 
SN314: c:-0.12039079630232852 mwebv:0.11912992131338582 t0:58660.94290379945 x0:0.0001554272005671016 x1:-0.04661374661835049 z:0.129068593091 
SN315: c:-0.0433030413208515 mwebv:0.21628055716319083 t0:58632.952159657674 x0:0.0003241025366480402 x1:-1.0630377751257736 z:0.108754724067 
SN316: c:-0.06818768539813824 mwebv:0.12357498257443622 t0:58567.43715988838 x0:0.0001677119829341719 x1:-1.5151950003656551 z:0.137633412419 
SN317: c:0.1974061393201616 mwebv:0.11015966505850505 t0:58774.001661400245 x0:0.000387220288991685 x1:-1.0058719944369205 z:0.0877539408277 
SN318: c:-0.08830743334722602 mwebv:0.18532867157504582 t0:58898.157005634566 x0:0.0004208916350646852 x1:-0.6434053460288505 z:0.130020292131 
SN319: c:0.253049856315263 mwebv:0.012738105523129368 t0:58784.71153901244 x0:0.0004529421995238167 x1:-0.863606806642176 z:0.0862383861981 
SN320: c:0.029904897354727566 mwebv:0.1157644779286675 t0:58588.393035825386 x0:0.0002125771049735451 x1:0.43078944137182695 z:0.125619812355 
SN321: c:0.04208207696356858 mwebv:0.09652509200742182 t0:58632.919638466614 x0:0.0003222363679184069 x1:-0.24188217041393045 z:0.0954350025462 
SN322: c:0.10263236924354047 mwebv:0.2618512759994557 t0:58667.490378302835 x0:0.0003755867807706395 x1:-0.2675065536807315 z:0.0870400177613 
SN323: c:-0.010333692528194938 mwebv:0.14509039964386639 t0:58924.74302389948 x0:0.00011493980107431628 x1:-0.7600032061956048 z:0.142535918309 
SN324: c:-0.06185467999697547 mwebv:0.009507187495445941 t0:58701.80675569279 x0:0.00017648520395611574 x1:0.6191990173440107 z:0.111275869335 
SN325: c:-0.09958143071242676 mwebv:0.0765592887943629 t0:58596.35228151158 x0:0.00022657279758908682 x1:0.5472669167999102 z:0.136765956943 
SN326: c:0.012782390821612921 mwebv:0.0838914090885217 t0:58677.46358600369 x0:0.0005796754933407486 x1:0.14956791387198187 z:0.0768498340925 
SN327: c:-0.014635787846296822 mwebv:0.07890663926336162 t0:58787.73651345777 x0:0.0017213053930020597 x1:0.5877990145231005 z:0.0528875244085 
SN328: c:-0.058340632323830466 mwebv:0.0386257713671233 t0:58780.99288281723 x0:0.0001930777278995098 x1:-0.2641047380399195 z:0.123028164009 
SN329: c:-0.0614061431989219 mwebv:0.07272089146247065 t0:58605.2821119129 x0:0.00016686249245488009 x1:-0.31590784467388433 z:0.137534596661 
SN330: c:0.16739891164527654 mwebv:0.00995282060845047 t0:58745.353966190625 x0:0.00022815096052084655 x1:0.34494126197359876 z:0.139723649671 
SN331: c:-0.05265358767384143 mwebv:0.014757367582973833 t0:58761.57847953652 x0:0.0001932156401040508 x1:0.0889342187884754 z:0.121954711469 
SN332: c:-0.032156202726685734 mwebv:0.03897464599424484 t0:58884.591764754885 x0:0.0007248613605609128 x1:0.7896853723739454 z:0.0748377036568 
SN333: c:-0.08430162278435294 mwebv:0.3910515762227976 t0:58565.90339949586 x0:0.0012076023882889076 x1:-0.5205741846933969 z:0.0662641308952 
SN334: c:0.07891930068924813 mwebv:0.07070650380461554 t0:58598.30717730286 x0:0.00031165056063815473 x1:0.24457973365569297 z:0.121174174223 
SN335: c:0.08661569487967924 mwebv:0.02500956729248328 t0:58646.19095991787 x0:0.00022407400567643875 x1:-0.9753508296403326 z:0.131393927766 
SN336: c:0.13201974123776683 mwebv:0.08451652125632844 t0:58859.23860846055 x0:0.0003968232999661701 x1:-1.1263019958567884 z:0.12878530141 
SN337: c:-0.038447637350677244 mwebv:0.1850586053553623 t0:58794.26655098599 x0:0.0002448228827411376 x1:-1.04945081447256 z:0.126903591537 
SN338: c:-0.09106747776832602 mwebv:0.028813500022561535 t0:58805.985619466075 x0:0.00020908776576037392 x1:0.7488219003106593 z:0.144823688388 
SN339: c:-0.050528519719886145 mwebv:0.019903744708243035 t0:58698.83065427954 x0:0.00015631138473598026 x1:0.22934561317310065 z:0.141224873625 
SN340: c:-0.109035489230076 mwebv:1.8140699206710074 t0:58738.971224544155 x0:0.001241806054918667 x1:1.0388676395200918 z:0.054037232555 
SN341: c:-0.014454999380445699 mwebv:0.12491640923707384 t0:58741.829306520856 x0:0.000512273760542963 x1:0.9564131808365106 z:0.11291049694 
SN342: c:0.03534692395877537 mwebv:0.01993859740601669 t0:58767.99099892528 x0:0.00030319981952103657 x1:-0.15045824977668687 z:0.114455769092 
SN343: c:-0.0662289930455291 mwebv:0.08763896873332094 t0:58902.96125773896 x0:0.00016940355496668918 x1:0.598973600019221 z:0.149883137818 
SN344: c:-0.1277076266743089 mwebv:0.11698535448377781 t0:58694.48607201286 x0:0.00021287925935965733 x1:-1.0388208510398276 z:0.117125212617 
SN345: c:-0.017519561669391948 mwebv:0.9473306777248611 t0:58774.65920775293 x0:0.0001516202337467707 x1:0.42557690257081227 z:0.138321676911 
SN346: c:0.1087418223134522 mwebv:0.34707173248806866 t0:58641.118447365916 x0:0.0002489036927794535 x1:-0.7214665046496145 z:0.130296276035 
SN347: c:0.07434392950395097 mwebv:0.0601684092014994 t0:58761.14386947521 x0:0.0004727927328000981 x1:-0.7702267142629968 z:0.0822952983174 
SN348: c:0.005283664761217111 mwebv:0.23320795371116212 t0:58620.377139325305 x0:0.00022519152217290395 x1:1.0133241181358192 z:0.122496319566 
SN349: c:-0.049512948488875 mwebv:0.41212970472210747 t0:58640.02085092383 x0:0.0004105632653598638 x1:1.0648001390711102 z:0.0868069710165 
SN350: c:-0.03173232307492979 mwebv:0.04458812753176579 t0:58730.64115689284 x0:0.0037630739338910956 x1:0.7874270774803396 z:0.0452706966229 
SN351: c:-0.03468744288793957 mwebv:0.017583762213348987 t0:58666.65319572159 x0:0.0002420588025973937 x1:0.5102267643017422 z:0.146072467204 
SN352: c:0.09257837446321293 mwebv:0.026814137211467807 t0:58750.60325504735 x0:0.000882638363354884 x1:0.19425028411218648 z:0.0626365521508 
SN353: c:-0.07379425658024097 mwebv:0.07707819826664636 t0:58573.76753928394 x0:0.00028291808404346165 x1:-1.2400926404091672 z:0.136100464556 
SN354: c:-0.12485562730613076 mwebv:0.05967307775059652 t0:58671.23791968932 x0:0.0005631036392417206 x1:0.06587252941349586 z:0.0958516253743 
SN355: c:0.011487578038327229 mwebv:0.011819172608428052 t0:58866.570978660355 x0:0.0002946143860439394 x1:-0.1455362408367642 z:0.0855404615045 
SN356: c:-0.06517943407357496 mwebv:0.05155752965008913 t0:58806.77372014413 x0:0.0008071093092126325 x1:-0.658012940029634 z:0.0755265879551 
SN357: c:-0.04378891239418614 mwebv:0.04936977818996467 t0:58717.81915012255 x0:0.00025994375606175324 x1:-0.15421127308849236 z:0.14051930319 
SN358: c:-0.02554375882386406 mwebv:0.08837297371745592 t0:58586.51929602702 x0:0.00016599797369942627 x1:0.5285918600660473 z:0.147449427444 
SN359: c:-0.09112979601462001 mwebv:0.040593706489354925 t0:58579.962959768076 x0:0.0002460727496273411 x1:-0.5980355530140575 z:0.141146497495 
SN360: c:-0.027567232903995098 mwebv:0.4828752520998984 t0:58662.19647824112 x0:0.0007150531856884889 x1:0.6304115924030786 z:0.0748649768918 
SN361: c:-0.0877970607081755 mwebv:0.125601439644117 t0:58641.24053098577 x0:0.00014983073721753744 x1:0.16887003558320401 z:0.115237802622 
SN362: c:-0.04492373315735687 mwebv:0.09881669601696098 t0:58568.93142672936 x0:0.000582330680162937 x1:-0.3152726412194302 z:0.0799999980126 
SN363: c:-0.10751838284776083 mwebv:0.11236458159983549 t0:58804.29601423397 x0:0.0026963447322177407 x1:-0.4634549713570708 z:0.0475935489442 
SN364: c:-0.06862087896553248 mwebv:0.02592163163772768 t0:58755.66157221677 x0:0.0002278739492820881 x1:-0.07273488647842985 z:0.146580744749 
SN365: c:-0.06140721974203878 mwebv:0.27642465825922535 t0:58786.53742563865 x0:0.00018525405647143887 x1:-0.9262116804146485 z:0.132918004458 
