SN1: c:0.0038398644787018717 mwebv:0.6368299677757563 t0:58678.49818488358 x0:0.0035094158989326823 x1:0.13050485160332306 z:0.03826458442501344 
SN190: c:-0.4477499856331824 mwebv:0.021303250109515115 t0:58678.672052204194 x0:7.925304484162582 x1:-0.06421449781152408 z:0.11815185182533068 
SN191: c:-0.014478713848179742 mwebv:0.009870361507124852 t0:58929.06900593767 x0:0.00039977226529423315 x1:0.26565397516242023 z:0.11086934816554941 
SN192: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN193: c:0.03514876785590209 mwebv:0.2135314238088371 t0:58630.3799329463 x0:0.00016160642105639137 x1:0.16927082630529627 z:0.12114902124170362 
SN194: c:-0.021728958836400407 mwebv:0.16356045611641556 t0:58877.84714704055 x0:0.0007807047228243296 x1:-0.21495616048265628 z:0.0802963983474611 
SN195: c:-0.015568143606081839 mwebv:0.7920922540812276 t0:58928.83764870642 x0:0.0007147382701477578 x1:0.226404302091404 z:0.08021656012647521 
SN196: c:-0.009418094198011867 mwebv:0.6324524022573751 t0:58715.84434373531 x0:0.0002851591329014448 x1:0.08132057318796862 z:0.11778319167148106 
SN197: c:0.008696100645486456 mwebv:0.6122686335320948 t0:58863.02557733831 x0:0.0004982522505166954 x1:-0.02687544976118159 z:0.12339757848617096 
SN198: c:-0.04956216810654754 mwebv:0.009798834460261117 t0:58721.36076874751 x0:0.0005271275510529821 x1:-0.16214276241798445 z:0.08702353227673093 
SN199: c:0.0014060758061755225 mwebv:0.3056716158308262 t0:58848.116420084094 x0:0.0004506893826621998 x1:0.012655668508103348 z:0.09485576743910067 
SN200: c:-0.0035656420755937404 mwebv:0.010094829499211902 t0:58685.58652537967 x0:0.0004166323627363809 x1:0.4111207187375627 z:0.09367317750257684 
SN201: c:-0.020039116752938294 mwebv:0.06400434226531036 t0:58852.957452813986 x0:0.000535311950642848 x1:0.4883951526645704 z:0.10112338293240752 
SN202: c:-0.013196701821467085 mwebv:0.4837089391106918 t0:58845.3345761146 x0:0.0003924892932385797 x1:0.18618981071316604 z:0.10121618510768302 
SN203: c:-0.002831352295828138 mwebv:0.4369622482345904 t0:58628.60440427551 x0:0.00026154574546935396 x1:0.08824820063350905 z:0.13040118700665196 
SN204: c:0.17484021486085743 mwebv:0.01223958883251634 t0:58872.89789549316 x0:0.0007190357464486588 x1:-0.6368782342286806 z:0.07338099088409195 
SN205: c:-0.027029056135216528 mwebv:0.5664255709864366 t0:58587.29759016589 x0:0.0004016727636229785 x1:0.21365493928159596 z:0.10896617837278681 
SN206: c:-0.041755693232780985 mwebv:0.011898601990893005 t0:58881.18733897729 x0:0.0011374061861474864 x1:-0.060840292772477926 z:0.07231640903448197 
SN207: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN208: c:0.05121002125445302 mwebv:0.031896269742323784 t0:58876.22644240329 x0:0.00022311260294907736 x1:-0.18512674519130243 z:0.14684287611695723 
SN209: c:0.01873802555493754 mwebv:0.20099743434909895 t0:58905.08699124702 x0:0.000319702081623253 x1:-0.023484241367192075 z:0.14870442860562827 
SN210: c:-0.06420465651066169 mwebv:0.045895902481040356 t0:58594.728937876534 x0:0.0007465277764654346 x1:0.43951397189145175 z:0.07153914227267291 
SN211: c:-0.007337072923540923 mwebv:0.08861743281063321 t0:58849.42676719791 x0:0.00028408246949281215 x1:-0.13349371940678012 z:0.14627304954614306 
SN212: c:-0.11659657715107415 mwebv:0.014220353070114863 t0:58665.432435282215 x0:0.000936818838850831 x1:0.4384263046477839 z:0.09719622107559206 
SN213: c:-0.006496120372706591 mwebv:0.6233458639340341 t0:58605.595644269786 x0:0.00019686542324217265 x1:-0.059826759515616036 z:0.11261852585723227 
SN214: c:-0.02830386831351632 mwebv:0.023537969216451984 t0:58824.17862599622 x0:0.00032916672520492523 x1:0.34110884123421115 z:0.10791284301151453 
SN215: c:0.0017287375024718757 mwebv:0.042297091980163556 t0:58662.50420667597 x0:0.0002922181365113787 x1:0.034610275317853816 z:0.12389086329938617 
SN216: c:-0.01752677147851919 mwebv:0.14428392268985896 t0:58684.13382033623 x0:0.00023950942193084584 x1:0.28222795255708655 z:0.1239751024288928 
SN217: c:-0.04101173113835776 mwebv:0.15649821133728697 t0:58793.35214886446 x0:0.00015342527095494493 x1:-0.1305045982363048 z:0.14839800771036288 
SN218: c:-0.06919265746358555 mwebv:0.08165280398191219 t0:58841.037199325896 x0:0.003759232609931065 x1:0.3042046907249549 z:0.04508617541570768 
SN219: c:0.017455773151712355 mwebv:0.17294561780023382 t0:58638.109420526205 x0:0.0005031227046202557 x1:0.07865327975008767 z:0.10799709576162139 
SN220: c:-0.02975883866492211 mwebv:0.054895112510049034 t0:58932.19709799842 x0:0.0005235181213059269 x1:0.5052305904066038 z:0.07511252922131373 
SN221: c:0.0026393322713218737 mwebv:0.0780925027796796 t0:58727.89425363851 x0:0.00031924732339781237 x1:-0.08094596452685779 z:0.12296133635272516 
SN222: c:0.1104532173777326 mwebv:0.14133221506427682 t0:58808.476148281574 x0:0.0003648098869074253 x1:0.4102958534835648 z:0.12166492550763958 
SN223: c:-0.06939212631768103 mwebv:0.027636940293895653 t0:58660.8271860726 x0:0.00021110502971023818 x1:0.41568413417967465 z:0.13184177644941536 
SN224: c:0.03502020508833099 mwebv:0.02188968382401633 t0:58828.337798746645 x0:0.00032623988340812446 x1:-0.061563926885355384 z:0.12531217333014266 
SN225: c:-0.04839362510925643 mwebv:0.17382830337358973 t0:58625.648825920594 x0:0.00023952815311163484 x1:0.23679990769887663 z:0.13344427872346454 
SN226: c:-0.01813062827345145 mwebv:0.035359227019912245 t0:58662.31054210682 x0:0.00023526520424071266 x1:0.3602539439191219 z:0.1419389575750523 
SN227: c:-0.060255035485380304 mwebv:0.02569213380289844 t0:58690.42151838253 x0:0.00018110525249577188 x1:0.8700254328305651 z:0.13336817425650974 
SN228: c:0.029635378624826687 mwebv:0.15801563157820758 t0:58835.14021781944 x0:0.0013723132940759103 x1:0.34912013915517137 z:0.06007086591667412 
SN229: c:0.0010023884239369115 mwebv:0.03401431884037643 t0:58690.80552531237 x0:0.0005754624118092289 x1:-1.0785657733642642 z:0.11090360527803055 
SN230: c:-0.012148155331231484 mwebv:0.19965210589985485 t0:58833.35952028828 x0:0.0005253361915979271 x1:0.42509630915485075 z:0.0842839644521836 
SN231: c:-0.05139103161904676 mwebv:0.02996219044075492 t0:58752.62566828147 x0:0.00017961810503689434 x1:0.3726799241803099 z:0.1441665424016854 
SN232: c:-0.020748468704570814 mwebv:0.10545728774708887 t0:58818.986345634796 x0:0.00023017774896765046 x1:0.10097608197978131 z:0.13779065111958033 
SN233: c:0.010340906073786047 mwebv:0.16108200205732687 t0:58805.87477656149 x0:0.00027142639902806023 x1:0.19079158874313593 z:0.1417401527599192 
SN234: c:-0.019093677634203648 mwebv:0.25483794644660784 t0:58629.51669894277 x0:0.0002478479277399671 x1:0.37067844376565784 z:0.100464195011201 
SN235: c:-0.16737268733796778 mwebv:0.06193971237345595 t0:58758.37899765575 x0:0.0003205054094609151 x1:-0.05666062673773066 z:0.13143708927014036 
SN236: c:-0.0046225445726090905 mwebv:0.1100682113049545 t0:58645.85046838863 x0:0.46884002736101393 x1:-0.07231847564710336 z:0.1446412580861849 
SN237: c:0.004135033178258006 mwebv:0.05294767083611486 t0:58588.475137362555 x0:0.0002046547123060329 x1:0.24840150340244976 z:0.1482453633670574 
SN238: c:0.02252839066059904 mwebv:0.46225945305385413 t0:58644.16877150317 x0:0.00022398816638440481 x1:-0.09946146845685999 z:0.12411155468864885 
SN239: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN240: c:7.50319362417743e-05 mwebv:0.04340540873174087 t0:58908.835845600726 x0:0.00029958127786114885 x1:0.04578173850829898 z:0.13975802441011848 
SN241: c:0.02042788229526323 mwebv:0.06632991775940081 t0:58753.00470531388 x0:0.00022261711564232307 x1:-0.14244224277650566 z:0.11933144157095191 
SN242: c:0.02418898336695799 mwebv:0.045001807495023576 t0:58709.70400007862 x0:0.003865390779904086 x1:0.4977232032808467 z:0.02711558701011293 
SN243: c:0.08416395148454218 mwebv:0.013071057350349424 t0:58655.96734064983 x0:0.000527899170038844 x1:0.06487257362373122 z:0.08071604728725872 
SN244: c:-0.02803550237822989 mwebv:0.06702773284537715 t0:58701.819456233665 x0:0.0004468020103041415 x1:-0.029691100462396345 z:0.08808863107824297 
SN245: c:0.06707957957621302 mwebv:0.17349470169928355 t0:58690.63850431792 x0:0.0006425654355768817 x1:-0.2954050229786521 z:0.09299802267857868 
SN246: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN247: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN248: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN249: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN250: c:-0.16166564994080085 mwebv:0.05211484955241033 t0:58790.14311314367 x0:0.00015610169028429212 x1:-0.6195053850319887 z:0.1359526417776707 
SN251: c:9.678348690208621e-05 mwebv:0.09185827851957308 t0:58719.302323129574 x0:0.0009285451539136039 x1:0.46970786890999777 z:0.05818608295119848 
SN252: c:0.0033192731388489555 mwebv:0.10658642416736197 t0:58935.68967956122 x0:0.000198608582106408 x1:-0.04334350841759289 z:0.14985946683188894 
SN253: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN254: c:-0.04692200159836767 mwebv:0.03275667285260389 t0:58828.49998615123 x0:0.0006966716234819286 x1:0.09912246341372488 z:0.07151956140209345 
SN255: c:0.006451721291448301 mwebv:0.11071403567263026 t0:58936.8765178838 x0:0.0006439232730398477 x1:0.031138775514955898 z:0.09030129588521436 
SN256: c:-0.09617259093133772 mwebv:0.023668505844587285 t0:58611.97565245185 x0:0.00023826546456040245 x1:-0.14412794589342023 z:0.10371241127693995 
SN257: c:0.160018349247915 mwebv:0.008467365941034168 t0:58708.30763444773 x0:0.0003592622288120353 x1:-0.0765051610105756 z:0.10001584235543126 
SN258: c:-0.04852439906754938 mwebv:0.22245835164803415 t0:58648.58021053916 x0:0.0009697289674037267 x1:-0.2962154502609027 z:0.07416582439198907 
SN259: c:-0.018570624685370952 mwebv:0.06260313708751318 t0:58566.90092090391 x0:0.0007284086861384278 x1:-0.09955074506569188 z:0.12748154594648697 
SN260: c:-0.042495388483819854 mwebv:0.03928758612335933 t0:58590.24590951249 x0:0.0003485127735860772 x1:1.0653297822051035 z:0.09646218316645987 
SN261: c:-0.008327063455104642 mwebv:0.01721451037093758 t0:58856.22767737088 x0:0.0002267218898912614 x1:-0.20479350503805732 z:0.14354703595260682 
SN262: c:-0.07211276274913894 mwebv:0.030930656804618588 t0:58685.8396592639 x0:0.00039772511902386144 x1:-1.5826644836249888 z:0.09652933388853344 
SN263: c:-0.0770522723918599 mwebv:0.15650850495169932 t0:58619.792545960976 x0:0.0007260258253098139 x1:0.0902695525844644 z:0.08260648744919348 
SN264: c:-0.011991259813009046 mwebv:0.014211779002141664 t0:58854.89463069222 x0:0.00035393478094612784 x1:-0.04741549334777753 z:0.11017189425410612 
SN265: c:0.07458884754697982 mwebv:0.015610494582738658 t0:58748.03843502454 x0:0.0003577083934999445 x1:-0.4042509567386282 z:0.09576663971854465 
SN266: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN267: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN268: c:-0.044334716016443745 mwebv:0.04694444705871524 t0:58853.253074982 x0:0.0003148174750897125 x1:-0.8441762343041732 z:0.11379931911766054 
SN269: c:-0.0026430086295880055 mwebv:0.046553488960937126 t0:58919.38302422216 x0:0.0002310569691346578 x1:-0.09973364541495679 z:0.1409855292613787 
SN270: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN271: c:-0.06692540997636652 mwebv:0.08129775592088706 t0:58627.56594907873 x0:0.0007130506422695383 x1:0.42684789884799823 z:0.09282419554879442 
SN272: c:-1.4815555179364797 mwebv:0.42856097471776483 t0:58668.14942406702 x0:0.011201481569641888 x1:-1.9861991107312476 z:0.13748053116879505 
SN273: c:0.0621242452851154 mwebv:0.1279478415312253 t0:58800.54677645608 x0:0.004839081435475779 x1:0.1691561371770388 z:0.03316891391876031 
SN274: c:-0.0676587147295792 mwebv:0.017952780801929316 t0:58767.92149764875 x0:0.00032326757020627767 x1:-0.03028724331972039 z:0.08762605279477866 
SN275: c:0.0035709473920672416 mwebv:0.1217705645467273 t0:58659.83340507027 x0:0.00039563777682363174 x1:0.09712986436629563 z:0.12554376385597443 
SN276: c:0.04484538816401256 mwebv:0.032343747967266426 t0:58794.498629658614 x0:0.00022302052188932588 x1:-0.05905019915241329 z:0.1458860670074163 
SN277: c:0.0040640736507519485 mwebv:0.0805924336936879 t0:58727.41836273905 x0:0.0002981317801901392 x1:0.046636817284129856 z:0.13276249909538884 
SN278: c:0.028334473349415704 mwebv:0.6166842620929811 t0:58827.660596337686 x0:0.019657825987680295 x1:-1.3500923177260962 z:0.10453578419679116 
SN279: c:-0.05148538419433985 mwebv:0.027938386204739332 t0:58726.33591075447 x0:0.0013754689023695193 x1:-0.2747389019013282 z:0.04869817115022483 
SN280: c:-1.3332800086059617 mwebv:0.10945740316451757 t0:58635.221078450515 x0:0.00038826700960543307 x1:2.096769398696822 z:0.12152290814698855 
SN281: c:-0.03019663784304061 mwebv:0.06624751727093776 t0:58896.68045060072 x0:0.00039418812511985243 x1:0.21260312324086952 z:0.12336894882070215 
SN282: c:0.1285751562050976 mwebv:0.29421589734622366 t0:58918.044348393036 x0:0.00041413351869005793 x1:-0.20486232896406656 z:0.10116747408648413 
SN283: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN284: c:0.13151767324869154 mwebv:0.05465051472650328 t0:58662.656374919745 x0:0.0002668535580537968 x1:-0.4471154091571766 z:0.1324765215324143 
SN285: c:0.003525777099225807 mwebv:0.011647870432553694 t0:58828.313070671735 x0:0.000655420202575514 x1:-0.10418737132691953 z:0.08713513654687395 
SN286: c:0.042676500524254694 mwebv:0.031205680975786618 t0:58809.66733275025 x0:0.00023410433091090613 x1:-0.11153022588867217 z:0.14131593201892778 
SN287: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN288: c:-0.2898934528965269 mwebv:0.41401213283779936 t0:58901.95874630065 x0:0.000813300826373668 x1:-0.019269063977980998 z:0.14401118919436467 
SN289: c:-0.16577779361307843 mwebv:0.02225454451385631 t0:58907.931585167265 x0:0.002544353673720256 x1:-0.017370019928452943 z:0.09190736258609213 
SN290: c:-0.2359716248073169 mwebv:0.31191014986340454 t0:58816.906900096285 x0:0.0004181338734650737 x1:0.49018959225490044 z:0.1288105740561802 
SN291: c:0.032425489177526017 mwebv:0.06418364839503674 t0:58707.68706899254 x0:0.00023858745778522041 x1:0.03537141036993342 z:0.13438383921161523 
SN292: c:-0.040728633382143206 mwebv:0.06066676508149731 t0:58620.356267436706 x0:0.0004687876777423954 x1:0.460910821271917 z:0.08399942444493655 
SN293: c:0.018308557450530907 mwebv:0.02219988182837385 t0:58668.67402466347 x0:0.0002534587864548843 x1:-0.3388987829494652 z:0.11847388894621078 
SN294: c:-0.5587578917215206 mwebv:0.02790343443662999 t0:58879.216701458594 x0:0.0002834702245890399 x1:-0.07704496509036615 z:0.1343400292661352 
SN295: c:0.05832673342700767 mwebv:0.09400777915218558 t0:58773.31440248052 x0:0.00038425280056635547 x1:0.0362841955300576 z:0.09228011263335367 
SN296: c:-0.013214455290636837 mwebv:0.10749227053305503 t0:58849.040782805976 x0:0.00040539875635107965 x1:0.031235049131384397 z:0.12008599247185317 
SN297: c:-0.8253259835413453 mwebv:0.023252298487521597 t0:58829.01168914483 x0:0.02093756019526039 x1:0.9629649537242764 z:0.04325976268706161 
SN298: c:-0.04144744230280092 mwebv:0.017404600323107394 t0:58670.41148853836 x0:0.005296521172852739 x1:-0.41474897864198873 z:0.027894964343590112 
SN299: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN300: c:-0.06301301081636763 mwebv:0.1634558641939896 t0:58858.300728536036 x0:0.0022731253415007244 x1:-0.43948010600783 z:0.0407079072251197 
SN301: c:-0.0043104343846434075 mwebv:1.3744525062340238 t0:58905.44370019983 x0:0.0014874717948069618 x1:-0.005287086062936468 z:0.09909435874208257 
SN302: c:-0.7838192634786024 mwebv:0.12058762904602763 t0:58675.60432862879 x0:0.00283507724191041 x1:0.11817127167608285 z:0.10466140936588739 
SN303: c:0.12601744171434806 mwebv:0.09667505923881571 t0:58622.583843053195 x0:0.00026205796027472037 x1:-0.13767317846630986 z:0.12220124626764357 
SN304: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN305: c:-0.04588556934612093 mwebv:0.17172153114456243 t0:58825.788969584035 x0:0.0003959842768573065 x1:0.404263684047064 z:0.08631181738633423 
SN306: c:-0.05127423768431772 mwebv:0.04518906313850461 t0:58618.374319945084 x0:0.0002868294277207221 x1:0.6721456302724905 z:0.11647944734221233 
SN307: c:-0.03602321416434187 mwebv:0.1923233693921459 t0:58677.85894250354 x0:0.0002276017549285582 x1:0.17176015762340688 z:0.14316549148759006 
SN308: c:-0.058696429614102784 mwebv:0.1494757669908406 t0:58576.06593831625 x0:0.0006391211248184705 x1:-0.6876281382360702 z:0.07911473083676515 
SN309: c:-0.0709154875554146 mwebv:0.02502164551408484 t0:58797.98375980003 x0:0.0010369606793298276 x1:0.44156902150501165 z:0.05867243154447243 
SN310: c:-0.027965286955368707 mwebv:0.01522153356889372 t0:58810.574188008366 x0:0.0005710901924346449 x1:-0.07625925653791686 z:0.122480471991192 
SN311: c:-3.3675408676495024 mwebv:1.8616449589895139 t0:58938.95500259658 x0:320.6019675899743 x1:-0.31173339514499016 z:0.07113614220548237 
SN312: c:-0.02889894691155879 mwebv:0.10462942033533301 t0:58911.65419352101 x0:0.00015219240072770622 x1:0.015384265627193276 z:0.14807026657466577 
SN313: c:-0.007627999951244061 mwebv:0.03823517975863569 t0:58575.72001357589 x0:0.001335761268480613 x1:-0.24659862809709363 z:0.0609035209581094 
SN314: c:-0.014400428523188763 mwebv:0.04093148641340418 t0:58695.243764055704 x0:0.00040036713901779174 x1:0.14051377941920368 z:0.11978292170042301 
SN315: c:-0.035859920797690514 mwebv:0.038963550936880094 t0:58872.86876867273 x0:0.00039927666501629166 x1:0.21807216450832803 z:0.12861026439784973 
SN316: c:0.03856931691650113 mwebv:0.4484079993376218 t0:58611.84220356432 x0:0.00037534324074754645 x1:0.07927311468201417 z:0.12934664453020908 
SN317: c:-0.02730789324451688 mwebv:0.028672018643921927 t0:58725.837812651196 x0:0.00016253388212115276 x1:0.15149331400038066 z:0.14322941056302346 
SN318: c:-0.039712712222097726 mwebv:0.05470991411894765 t0:58857.80909292792 x0:0.0005805619167695293 x1:0.18069378265170655 z:0.06467995529663564 
SN319: c:0.006378457124210936 mwebv:0.12352761485672939 t0:58697.453542915115 x0:0.0002200783481956972 x1:0.18037393310274685 z:0.12150742130381999 
SN320: c:-0.00810519409226486 mwebv:0.3282100941933193 t0:58783.05703490924 x0:0.001214881244548675 x1:-0.04615738871352131 z:0.06329046991550075 
SN321: c:0.02149878173578148 mwebv:0.16240262814368817 t0:58758.02759401265 x0:0.00028184318613855915 x1:0.13489400095145948 z:0.130507195736421 
SN322: c:-0.040386056565119774 mwebv:0.07623429811329757 t0:58687.79468889325 x0:0.0003632331293341865 x1:-0.36992329684364644 z:0.1122463021723268 
SN323: c:0.19896530973062274 mwebv:0.06961825146696046 t0:58937.07187905035 x0:0.0004530663656294207 x1:-0.7476405836604868 z:0.1178923877848026 
SN324: c:0.030412898453256197 mwebv:0.04560690577988358 t0:58839.79541683944 x0:0.00019101608058071472 x1:0.11572067925131699 z:0.11029936300262641 
SN325: c:-0.06570354493167031 mwebv:0.020154311504151413 t0:58816.18824315564 x0:0.000688510802105202 x1:0.9027573399715184 z:0.0841537401190187 
SN326: c:0.04558842391895788 mwebv:0.10127398600347023 t0:58758.11281329909 x0:0.0003316895736722252 x1:0.03098230968777906 z:0.1053745265895531 
SN327: c:-0.0487751880230133 mwebv:0.03572667109200896 t0:58801.65167643205 x0:0.0006946644934680956 x1:0.37892928169304546 z:0.09643515838410198 
SN328: c:-0.5814983578813114 mwebv:0.08111167548645407 t0:58712.34627757106 x0:0.0010936054337176496 x1:-0.01299402122602695 z:0.13129903645537166 
SN329: c:0.00821023655322609 mwebv:0.05021225358206441 t0:58603.912343303586 x0:0.00040760691012103753 x1:0.14134295197221552 z:0.11314271449643845 
SN330: c:-0.07117456176907706 mwebv:0.008520967065459795 t0:58598.1419485209 x0:0.002119828780590792 x1:0.5458951466304869 z:0.05212788037149754 
SN331: c:-0.01388561563012943 mwebv:0.0574957536642175 t0:58718.47845679665 x0:0.0001491929198507424 x1:0.06181604483539941 z:0.14820657899120515 
SN332: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN333: c:-0.0660081158022326 mwebv:0.011323390038096962 t0:58743.840027194856 x0:0.00027685424472158186 x1:0.008458307358780639 z:0.10456169404598356 
SN334: c:-0.07087811961552086 mwebv:0.07333318927481014 t0:58766.479772115585 x0:0.0002876202880844271 x1:0.5340451476942156 z:0.11233289408800809 
SN335: c:-0.01447085999441307 mwebv:0.18166344154952596 t0:58732.978699972984 x0:0.00024406174119465335 x1:-0.11818027086081342 z:0.09721512683449934 
SN336: c:-3.459892653078554 mwebv:0.3626030184549145 t0:58920.20996812978 x0:6.778366951344239e-06 x1:-0.10992854755333008 z:0.07032322822553894 
SN337: c:0.02640077083066347 mwebv:0.20512168774992098 t0:58872.52323989394 x0:0.00030793492550672345 x1:0.025545412595298318 z:0.14462376203778157 
SN338: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN339: c:0.031056576652783496 mwebv:0.05935420944586778 t0:58638.32389254732 x0:0.00029815610959126623 x1:-0.009386732941771513 z:0.11853912347049038 
SN340: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN341: c:-0.058899470767783006 mwebv:0.17283681900328896 t0:58846.445977166964 x0:0.0017906838572801789 x1:0.5966982605720204 z:0.0445478599152081 
SN342: c:0.009705079999901478 mwebv:0.12356077365304169 t0:58681.398582833885 x0:0.0008473453848679744 x1:-0.21940026642820204 z:0.09213918615784338 
SN343: c:-0.11620236256231513 mwebv:0.29327678771939225 t0:58666.44003594741 x0:0.03679358095096587 x1:-2.9827444286674107 z:0.051570229093792705 
SN344: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN345: c:-0.03355765968732524 mwebv:0.04341802921231806 t0:58892.95956858697 x0:0.0005138758252758797 x1:-0.668508253641262 z:0.10864595935907316 
SN346: c:-0.017086795513819208 mwebv:0.06472112690958493 t0:58749.059446793035 x0:0.00020210866754094908 x1:-5.069746739619609 z:0.13731726824091878 
SN347: c:-0.04119795119877138 mwebv:0.13475804769475458 t0:58862.21901595708 x0:0.00046338892231899685 x1:-1.3583516763939925 z:0.11186902522245429 
SN348: c:-0.12150330987054565 mwebv:0.09622355450885893 t0:58592.93685527269 x0:0.00018812230743542004 x1:0.4500910459192634 z:0.13729823809052394 
SN349: c:-0.02473640575157783 mwebv:0.016941338511281035 t0:58697.69229547554 x0:0.0007468381260316938 x1:-0.16635052360440647 z:0.0654872528175866 
SN350: c:-0.06771683134578746 mwebv:0.12360431040151496 t0:58680.96252471447 x0:0.0008323654729241501 x1:-0.7134536129747028 z:0.06938915552358416 
SN351: c:-0.26772620666976726 mwebv:0.14836787697599438 t0:58820.30596233951 x0:0.001998443300464782 x1:0.24087001567121216 z:0.09711136505088061 
SN352: c:0.10842689251420466 mwebv:0.01790919744787286 t0:58897.44215536192 x0:0.0013012790109641344 x1:0.29924817308626833 z:0.07970571286135537 
SN353: c:0.015723903701338447 mwebv:0.26349261830967785 t0:58721.34362228065 x0:0.0002302455881964618 x1:-0.05478577180480874 z:0.1371002468126046 
SN354: c:0.2406139522876003 mwebv:0.1872195200994677 t0:58629.58003569014 x0:0.0009410765639474839 x1:-0.166190088857785 z:0.059018825846078475 
SN355: c:-0.0017329725097210685 mwebv:0.01289001286098064 t0:58713.04846084746 x0:0.00023654796025915492 x1:0.2214912883251001 z:0.12958343691950253 
SN356: c:-0.0409547920738944 mwebv:0.2623414142505034 t0:58576.63871214686 x0:0.0004888626180725572 x1:0.1468489443752022 z:0.08685825466504538 
SN357: c:-0.02697259801183332 mwebv:0.12060593517122573 t0:58892.54819917901 x0:0.0003443086718956503 x1:0.09925629306776468 z:0.12147530345387358 
SN358: c:0.03567600886408112 mwebv:0.029667371057169788 t0:58706.57980780339 x0:0.00030994635094532636 x1:0.0031129886082035953 z:0.13058961463686655 
SN359: c:-0.016482480076487286 mwebv:0.05852481450588841 t0:58917.565501192046 x0:0.00032274670314055777 x1:-1.055498007068435 z:0.11482662691014975 
SN360: c:-0.025700450202585653 mwebv:0.12531824916695947 t0:58924.65167649537 x0:0.0001090043304102548 x1:0.08617233634764547 z:0.14922558967041955 
SN361: c:-0.013730546026029697 mwebv:0.14990826739029786 t0:58625.86472514903 x0:0.0002097009843967109 x1:0.22522302034033317 z:0.1459148882250119 
SN362: c:-0.08851217239009598 mwebv:0.30132295016261024 t0:58622.93743638482 x0:0.0008321041981573656 x1:-0.20209110336213332 z:0.14323455799862206 
SN363: c:0.10492242423619134 mwebv:0.062314506636539785 t0:58646.66589214955 x0:0.00034386998199736413 x1:-0.3596091998314588 z:0.10303209558058152 
SN364: c:-0.06466208144850721 mwebv:0.18700883464526596 t0:58826.07350495463 x0:0.00793925569436949 x1:0.2826017930944728 z:0.01986928483444729 
SN365: c:-0.0008221605775046925 mwebv:0.05907341029267958 t0:58704.34767366869 x0:0.0005919797279322354 x1:1.3679937054231095 z:0.06687378680344763 
SN366: c:-0.01082369708195784 mwebv:0.02158369267955977 t0:58643.563424449756 x0:0.0028763023670045763 x1:0.4526797699218465 z:0.04721990385823297 
SN367: c:-0.6510231122017796 mwebv:0.026973705491930178 t0:58785.10300730944 x0:0.002607399016018818 x1:-0.9978412100378331 z:0.1496001649321783 
SN368: c:0.02732680529618866 mwebv:0.24874281573423496 t0:58578.16393194594 x0:0.00028545874656767453 x1:-0.18866562641984402 z:0.13880266274082684 
SN369: c:-0.00949548515108191 mwebv:0.2776559562731499 t0:58882.76645993389 x0:0.00041059750821561235 x1:0.14232837077777252 z:0.07339241593185804 
SN370: c:-0.06027692711961788 mwebv:0.029405078269662672 t0:58651.35508591335 x0:0.00047057317909743866 x1:0.017108343690120147 z:0.08027156638872279 
SN371: c:-0.0048315044749283635 mwebv:0.0507916241885326 t0:58837.82427865595 x0:0.00021825649183910797 x1:0.03783128582824649 z:0.13575604707778696 
SN372: c:-0.699839022412433 mwebv:1.9764351527987636 t0:58767.81780518659 x0:0.00648499205058917 x1:0.0011850256862908613 z:0.13314664340824514 
SN373: c:0.06534364785656643 mwebv:0.017045049186601633 t0:58747.97249152076 x0:0.000472087973965549 x1:0.21048731661604478 z:0.0963633557774435 
SN374: c:-0.009567072188200545 mwebv:0.034212965927444466 t0:58837.288529728874 x0:0.0005425653480553981 x1:0.17306914835638673 z:0.07784508107296804 
SN375: c:-0.023574397082020672 mwebv:0.13584706561459486 t0:58890.72652792723 x0:0.0006336453108603611 x1:-0.08730578277166648 z:0.0803047200645525 
SN376: c:0.02289298911300366 mwebv:0.2233682314331813 t0:58894.466250734054 x0:0.00018905520238390747 x1:-0.015136741647251133 z:0.1323647082615857 
SN377: c:0.23915370599276367 mwebv:0.11616270394655853 t0:58691.24513983941 x0:0.00026608217204916306 x1:-0.6445189007806782 z:0.10087596395767479 
SN378: c:0.017285206436439954 mwebv:0.3533502219701357 t0:58787.50005396373 x0:0.000482161249557606 x1:-0.7133272682556404 z:0.09708110794150875 
