SN1: c:-0.03505828984749131 mwebv:0.08863503500258732 t0:58791.83483856664 x0:0.0004068272780025446 x1:0.2283324691629908 z:0.13692890168899033 
SN212: c:0.024658848790323026 mwebv:0.07230962274300744 t0:58847.32146040382 x0:0.0010321701054897337 x1:-0.21207499957905793 z:0.06872925809141202 
SN213: c:0.18559460761190144 mwebv:0.037375951566500386 t0:58777.276947340535 x0:0.00046251111486000316 x1:-0.0147649643941398 z:0.13296614773088483 
SN214: c:0.03919632576596371 mwebv:0.07124665536872829 t0:58820.889305527184 x0:0.0005461258625397902 x1:-0.08253272643711694 z:0.11359870695724275 
SN215: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN216: c:-0.04183578224892822 mwebv:0.15788342538597092 t0:58686.22791373117 x0:0.003985501875823877 x1:-0.24558911066836375 z:0.03523036803323335 
SN217: c:-0.0968010217733885 mwebv:0.011403181680289268 t0:58637.80027780495 x0:0.00016563252749614816 x1:0.1652097093437113 z:0.14156132704635876 
SN218: c:-0.06991047160200448 mwebv:0.09060037793679218 t0:58698.74229934838 x0:0.00043320990535578377 x1:0.4450529043081022 z:0.10185082800260828 
SN219: c:-0.003982309451579877 mwebv:0.1362718353867807 t0:58776.630687506346 x0:0.0003301405501016305 x1:0.15661142199420286 z:0.13293580669897412 
SN220: c:-0.03723627076675816 mwebv:0.005204255921242974 t0:58781.42281151373 x0:0.00035385554250715 x1:0.36068771468416694 z:0.10394620913495793 
SN221: c:0.004019844453076385 mwebv:0.09153738577426496 t0:58719.118930600525 x0:0.00021996863827359242 x1:0.04203368171087231 z:0.14681580307904693 
SN222: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN223: c:-0.02742755323416763 mwebv:0.18640769955809422 t0:58610.515118012205 x0:0.000440111692359919 x1:0.142158242053188 z:0.11560473008802102 
SN224: c:-0.0184620614142204 mwebv:0.021378833774075855 t0:58807.83570982335 x0:0.0009515748438991129 x1:0.617135024245436 z:0.056743011369640835 
SN225: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN226: c:0.006832955537411906 mwebv:0.050388911134927675 t0:58716.35721554878 x0:0.0002413863771286788 x1:-0.1034656379555351 z:0.14175752937688096 
SN227: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN228: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN229: c:-0.7983812909089412 mwebv:0.014939303839593476 t0:58923.22810627433 x0:0.0001662081518173531 x1:-1.2027757625325557 z:0.14692365211244213 
SN230: c:-0.6899872641668843 mwebv:0.0645537055254983 t0:58600.77867524657 x0:0.0030785858747236655 x1:-0.15119767663220726 z:0.11793416678310789 
SN231: c:-0.013236821284411868 mwebv:0.10382177146565541 t0:58688.06738308145 x0:0.001621720403125191 x1:-0.05498139982586331 z:0.05718047261044395 
SN232: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN233: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN234: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN235: c:-0.25653519521559287 mwebv:0.045311567936723154 t0:58647.13835463202 x0:0.0003923818450089316 x1:-0.15970343584364824 z:0.14043841822353886 
SN236: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN237: c:0.03538492598294529 mwebv:0.03846180641057503 t0:58668.04909554553 x0:0.0001775935888077828 x1:0.04021518399883653 z:0.1345490987629865 
SN238: c:-0.04010711329184219 mwebv:0.1651811904017517 t0:58882.49050120169 x0:0.00045629156213371214 x1:0.42583562318748863 z:0.0866774419563267 
SN239: c:-0.00983941016678488 mwebv:0.012149355297090117 t0:58885.002827169206 x0:0.0011984361678854078 x1:0.02145594611741348 z:0.05964923355561215 
SN240: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN241: c:0.02717323592292537 mwebv:0.015262678460090787 t0:58836.803185854355 x0:0.00023935037836188245 x1:-0.09614469920732721 z:0.13606603367802797 
SN242: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN243: c:-0.011194417471601763 mwebv:0.023515681799269668 t0:58829.32152090382 x0:0.002183810796803771 x1:0.05348071639281328 z:0.04587005524950957 
SN244: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN245: c:0.024859115573398358 mwebv:0.037430858207516474 t0:58585.13934889295 x0:0.0015193235017281709 x1:0.03379650966040576 z:0.11013045834509953 
SN246: c:0.03386933421235227 mwebv:0.048941545418749975 t0:58664.39255870096 x0:0.011844916444397391 x1:-0.9921340217245604 z:0.11274638533845081 
SN247: c:-0.016236444087541966 mwebv:0.18608911768661904 t0:58702.947880452404 x0:0.00020237650927361613 x1:0.15082441600633537 z:0.12673285461611908 
SN248: c:0.06443376816365858 mwebv:0.18902792388360554 t0:58820.976122376094 x0:0.000991592361726528 x1:-0.42778600459613153 z:0.07876298846962541 
SN249: c:-0.0008142137880997295 mwebv:0.06817244694156238 t0:58583.44490704796 x0:0.00035306313753110427 x1:0.04885655618980897 z:0.12358918788631869 
SN250: c:0.015035901916863418 mwebv:0.015488303686657589 t0:58907.014002669086 x0:0.00024782930914804313 x1:0.12824402855764272 z:0.09455387805087678 
SN251: c:-0.014426694081546341 mwebv:0.0997843680458232 t0:58886.32455551412 x0:0.0002701544846732472 x1:0.11045574214128005 z:0.14852231077525616 
SN252: c:-0.009238063843881171 mwebv:0.05911689506270207 t0:58843.33294502905 x0:0.00039617696443286 x1:0.12324863657835856 z:0.10152627922796252 
SN253: c:0.11524626555049002 mwebv:0.16135375344852187 t0:58707.59803211997 x0:0.0005007748268718474 x1:-0.040386053854954605 z:0.09479849454203626 
SN254: c:-0.03654622498154577 mwebv:0.013661300034462392 t0:58692.73058440366 x0:0.0003405752982960812 x1:0.5155023586630675 z:0.12050415066910536 
SN255: c:0.007271077823296265 mwebv:0.10438114004129194 t0:58800.457792155794 x0:0.00044196863148937375 x1:0.009093049897957449 z:0.13723054560079798 
SN256: c:-0.03600947692805065 mwebv:0.26617125770313027 t0:58755.05342463981 x0:0.0009613320499738993 x1:-0.22609661268148754 z:0.08923791762276477 
SN257: c:0.0033144763193692995 mwebv:0.05697247928801642 t0:58550.125917166624 x0:0.0009827748533603208 x1:-0.009827500050874037 z:0.12696321450039322 
SN258: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN259: c:-0.01912515107775254 mwebv:0.037626299305837475 t0:58707.67069607977 x0:0.00023718738694695395 x1:-0.3391272267669777 z:0.14149626551457378 
SN260: c:-0.8527716328446963 mwebv:0.09117932930840382 t0:58678.4881441298 x0:0.0018715981246948583 x1:-1.395048407274458 z:0.13714701401435964 
SN261: c:-0.016464097865601074 mwebv:0.032845772340071994 t0:58836.127459800664 x0:0.00037863312859317763 x1:0.06203542635388974 z:0.11937890241816101 
SN262: c:-0.15555974447772827 mwebv:0.10719143670573221 t0:58760.622643463335 x0:0.00047571305257299403 x1:-0.057680911404095286 z:0.12034302117253624 
SN263: c:-0.044348497897063396 mwebv:0.02424677266212501 t0:58635.35743609525 x0:0.00014470193657533287 x1:0.176475861104666 z:0.14597925683029805 
SN264: c:0.013034793886548535 mwebv:0.016568551042548986 t0:58807.49872632943 x0:0.0007526438314380938 x1:0.08388191416882695 z:0.10059755974565146 
SN265: c:-0.01218035432852301 mwebv:0.22694490325389316 t0:58668.91623726102 x0:0.005631647473436119 x1:-0.8593785993068721 z:0.023641020467394597 
SN266: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN267: c:-0.030663369504804423 mwebv:0.04248074829917081 t0:58702.598020509504 x0:0.0007810688980806655 x1:0.2311006848697432 z:0.07143917216311084 
SN268: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN269: c:-1.1234533428932352 mwebv:0.037263744573538836 t0:58883.46697124357 x0:0.00032207372199866266 x1:0.3001907908758157 z:0.10753435042774225 
SN270: c:0.04775080607751123 mwebv:0.016476573746678522 t0:58729.42095235907 x0:0.00022035264022694098 x1:1.6693982293497533 z:0.14571835323643684 
SN271: c:-0.024403228656121333 mwebv:0.09532244782563548 t0:58783.08707649474 x0:0.0002964902502429356 x1:0.29837463753374366 z:0.1238292840114518 
SN272: c:0.05662979439719897 mwebv:0.1747953768949599 t0:58598.43593100309 x0:0.002741090633464883 x1:0.01192017226395414 z:0.0342591742413752 
SN273: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN274: c:0.011046976318055315 mwebv:0.10051460401656273 t0:58763.947768879356 x0:0.0005441025206675155 x1:-0.036794142357579704 z:0.14656059220776713 
SN275: c:0.0018874410521836098 mwebv:0.0077632391573105785 t0:58844.702077899456 x0:0.00044097279177107566 x1:0.05669753641648412 z:0.08398683143309574 
SN276: c:-0.011145554042532951 mwebv:0.0803445382985485 t0:58564.34639582454 x0:0.0011915317667835431 x1:-2.6590319492885826 z:0.10028642055919564 
SN277: c:0.0010402616691311103 mwebv:0.07054328389646855 t0:58705.46054794531 x0:0.0002216976773921811 x1:0.03292814447315759 z:0.14613740954686757 
SN278: c:0.012071196629397834 mwebv:1.454771289442926 t0:58576.68713598852 x0:0.003410955594909253 x1:-0.06924055363483074 z:0.06805621740971557 
SN279: c:-0.009768534008834215 mwebv:0.11125101784467055 t0:58929.04517825798 x0:0.0011400484248108912 x1:0.0009610727471410474 z:0.0726526518551104 
SN280: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN281: c:0.023369665208156365 mwebv:0.20147012278252255 t0:58911.52417009234 x0:0.0012545845609198913 x1:-0.3759781100194048 z:0.12796486887850014 
SN282: c:0.014863592253059332 mwebv:0.03726658706429353 t0:58897.70213382684 x0:0.0005626934261069932 x1:-0.20978120006880782 z:0.12907429986267083 
SN283: c:-0.056597915189884544 mwebv:0.15083508878942328 t0:58867.52609097607 x0:0.0003449383093485841 x1:0.7546432157057645 z:0.1209248463647433 
SN284: c:0.3280553979061661 mwebv:0.01965905233796355 t0:58692.67174865991 x0:0.0001879045288380371 x1:-2.991682976844572 z:0.0973368270303559 
SN285: c:-0.06142690088056795 mwebv:0.020977102228524516 t0:58599.65897444051 x0:0.00014941881762992284 x1:0.03932852156922143 z:0.13142292917841317 
SN286: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN287: c:-0.1891327393702738 mwebv:0.02482495668137045 t0:58812.212005723726 x0:0.00039751053427400065 x1:-0.02815527128347603 z:0.1384164519187663 
SN288: c:0.005241832598414791 mwebv:0.052610568952343714 t0:58651.359938428046 x0:0.000698625135892609 x1:0.2151373151397992 z:0.14299674126250972 
SN289: c:-0.010223016544257866 mwebv:0.11688423332319334 t0:58650.713004939484 x0:0.0009610030817557608 x1:-0.1400357592493281 z:0.12196476933107048 
SN290: c:0.02324952929489146 mwebv:0.014584125141731569 t0:58920.9335629611 x0:0.000271255889984809 x1:0.026070442933818078 z:0.1430153202113586 
SN291: c:-0.044501650734181546 mwebv:0.055909315261025834 t0:58945.04864568213 x0:0.00011733604800863353 x1:0.37566366876398716 z:0.13314926011609365 
SN292: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN293: c:-0.0028519204384601306 mwebv:0.011553921384540268 t0:58848.893197158184 x0:0.0005297029496576956 x1:-0.0886656302571544 z:0.09120982840066821 
SN294: c:0.1445267567463397 mwebv:0.027991322706581095 t0:58869.44654319006 x0:0.0019245593239827648 x1:-0.000625392467273041 z:0.05366082579186944 
SN295: c:-0.20895058139173034 mwebv:0.1135156889288814 t0:58832.52188779924 x0:0.000363215795561326 x1:-0.08177564853355364 z:0.11952243314718779 
SN296: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN297: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN298: c:0.021779898367067563 mwebv:0.2592761439177519 t0:58731.635663713205 x0:0.00027848141807012037 x1:-0.14692966859646392 z:0.13285820506759072 
SN299: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN300: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN301: c:0.06756774427169132 mwebv:0.022745407771701948 t0:58680.90485380282 x0:0.0005280856215471405 x1:-0.12660741463411937 z:0.08672011094601781 
SN302: c:-0.03284304998146375 mwebv:0.009290853302497725 t0:58761.732981561814 x0:0.0003097119463329572 x1:0.0044798155040249674 z:0.13999177259529524 
SN303: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN304: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN305: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN306: c:-0.0006093929296031997 mwebv:0.06193905107292822 t0:58880.60091613532 x0:0.00016824631787622525 x1:-0.0891399781203508 z:0.1252518879873507 
SN307: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN308: c:-0.01817010876153275 mwebv:0.050104688572799844 t0:58653.589032499054 x0:0.000415854298895834 x1:-0.09304230312043238 z:0.11215636559009554 
SN309: c:-0.00792674173493043 mwebv:0.15731611630538142 t0:58619.59733641869 x0:0.0006514720053957003 x1:0.4281740397419712 z:0.09212743821079543 
SN310: c:-0.019846008403427397 mwebv:0.08389474042617334 t0:58805.91794032157 x0:0.001676275274520265 x1:0.42294732989864253 z:0.04865961688227072 
SN311: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN312: c:-0.03478175637385231 mwebv:0.14607316622268976 t0:58865.88981196484 x0:0.0016466255493528643 x1:0.46208955502964527 z:0.05021123179999958 
SN313: c:-0.07309142578760391 mwebv:0.22500430704171975 t0:58876.08151532328 x0:0.00016315354427771743 x1:-0.22244631245248325 z:0.1420793778151802 
SN314: c:-0.04551401031468528 mwebv:0.10010739005737952 t0:58614.85584331489 x0:0.0003910332796742101 x1:0.27288102884625187 z:0.09496323762540833 
SN315: c:0.05486015677283674 mwebv:0.07203504952635617 t0:58687.88817431176 x0:0.000797443088145207 x1:0.23642535086860744 z:0.07819286485052983 
SN316: c:0.06421950221323029 mwebv:0.09273977840508411 t0:58984.8146403195 x0:-0.9394913949572598 x1:-0.29934038984391254 z:0.12061675527945319 
SN317: c:-0.013262624676045647 mwebv:0.013175749286831177 t0:58898.89336101613 x0:0.0001833263247269969 x1:-0.022372074941450316 z:0.1474395827235822 
SN318: c:0.0027770524948041897 mwebv:0.046268745357093743 t0:58721.08717596793 x0:0.0009898889407956536 x1:-0.008436809413512462 z:0.08735255431874686 
SN319: c:0.007233874874880419 mwebv:0.09103371521640759 t0:58922.52489207182 x0:0.002891638621593862 x1:0.1845467859762593 z:0.04321748518268339 
SN320: c:-0.01603011731957788 mwebv:0.02822442976394727 t0:58876.67093413625 x0:0.00026351059020842624 x1:0.14985095858317626 z:0.12274891651395588 
SN321: c:-0.03187172192013079 mwebv:0.028147709421458895 t0:58674.15636850645 x0:0.0012071756306374862 x1:-0.13329693336679843 z:0.06447559868963296 
SN322: c:0.11789529816215279 mwebv:0.03592420985710748 t0:58703.531744089094 x0:0.0006122407905255062 x1:0.09208977002063687 z:0.0789935654108758 
SN323: c:-0.05449074799705846 mwebv:0.05587489941148107 t0:58734.526480689725 x0:0.0014751658873948996 x1:-0.25050788615841346 z:0.13178115162233855 
SN324: c:-0.04239965803788865 mwebv:0.135675348433632 t0:58602.822397229145 x0:0.0008091569392480613 x1:0.3156040652023928 z:0.06808694688369811 
SN325: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN326: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN327: c:0.0066191739589824975 mwebv:0.04780952612779948 t0:58796.389864787234 x0:0.00036345942729040635 x1:0.2751702845224472 z:0.11277059193463089 
SN328: c:0.06760114841739046 mwebv:0.04692124648279822 t0:58853.98762085844 x0:0.001206999229580093 x1:-0.12030037111797062 z:0.04774023563969072 
SN329: c:-0.03959382773845813 mwebv:0.09443131985266857 t0:58572.298117323604 x0:0.0006288420744022551 x1:-0.7605879807489717 z:0.07439713021002783 
SN330: c:0.13416817193191097 mwebv:0.11614290717022782 t0:58649.56753260021 x0:0.0021597086813153633 x1:-0.2349086590506236 z:0.048216087556486036 
SN331: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN332: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN333: c:0.008740117944123684 mwebv:0.03854959116988769 t0:58698.926281057655 x0:0.00020274499235230472 x1:0.018771693214840828 z:0.13876143916081526 
SN334: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN335: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN336: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN337: c:-0.24083664759833126 mwebv:0.01505047715894595 t0:58772.538001574874 x0:0.0025301897696828725 x1:0.43313354034644447 z:0.036548636722708444 
SN338: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN339: c:-0.0037824264564156407 mwebv:0.1498000926012916 t0:58819.2466916111 x0:0.0005613644784062317 x1:0.05159518783826999 z:0.09718986249688025 
SN340: c:-0.012430974657181465 mwebv:0.01380464690774608 t0:58612.67038653276 x0:0.0007157949296029412 x1:-0.09926409324957434 z:0.08397358072546367 
SN341: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN342: c:-0.02158313789851392 mwebv:0.07606411105364302 t0:58806.060792807686 x0:0.0014870657855409035 x1:1.1307861463691602 z:0.0460810289119799 
SN343: c:0.08590658274577948 mwebv:0.005138193548692657 t0:58576.29665959434 x0:0.0006098262464989214 x1:0.07031296447490464 z:0.0800992479616951 
SN344: c:0.006855776792239692 mwebv:0.007639811414883657 t0:58837.08241632545 x0:0.0009764892514525297 x1:1.1408684014354025 z:0.05586991911793984 
SN345: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN346: c:-0.09533231901326554 mwebv:0.09616285689856544 t0:58880.25540545845 x0:0.0013269624372237705 x1:-0.0893721002064134 z:0.13065799932180014 
SN347: c:0.04024945408216592 mwebv:0.03573514406960491 t0:58888.98604549236 x0:0.007403320353800874 x1:0.30697565058498877 z:0.02037433459601006 
SN348: c:0.011218969074768133 mwebv:0.637305925676572 t0:58660.41403141477 x0:0.0028192102695583565 x1:0.04230906985921289 z:0.06871693391881462 
SN349: c:-0.03622590270565852 mwebv:0.055448734578265976 t0:58673.61888751619 x0:0.00027404412243069447 x1:0.3979289334840005 z:0.14086429535538567 
SN350: c:-0.0012421674904174401 mwebv:0.07585124098381027 t0:58863.688030537116 x0:0.00013622611601154518 x1:0.13416715018309613 z:0.14575664561842763 
SN351: c:0.09947743279868347 mwebv:0.1990133437193172 t0:58821.120385886265 x0:0.0007376444853970932 x1:0.45652331043137795 z:0.07164311701164737 
SN352: c:-0.013638965505768949 mwebv:0.033877667410072816 t0:58833.49464475672 x0:0.0005748845741830543 x1:0.23416559617651206 z:0.07800177197180996 
SN353: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN354: c:0.045594972833696366 mwebv:0.03861195547957398 t0:58870.42596585871 x0:0.0005222443137746653 x1:-0.03184504185633328 z:0.10715763269425768 
SN355: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN356: c:0.036668203491861485 mwebv:0.23508770577237442 t0:58885.74381537185 x0:0.00045163098976792453 x1:0.03485014562957265 z:0.10216555571957343 
SN357: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN358: c:0.0007763488260817484 mwebv:0.07012406471189692 t0:58595.47270901301 x0:0.00022961952333597652 x1:-0.01371992977592928 z:0.1432863375772394 
SN359: c:0.01735764288112276 mwebv:0.046068002737022704 t0:58920.14838502315 x0:0.0012918157991448713 x1:0.16224908951071929 z:0.07744953160264081 
SN360: c:-0.03235400161603261 mwebv:0.0936456964804212 t0:58730.67888199685 x0:0.0010895122199709854 x1:0.02100470646357926 z:0.07099107362734997 
SN361: c:-0.011471693138195772 mwebv:0.16954596594081997 t0:58711.55362105708 x0:0.00027701667416065427 x1:0.16129625344995316 z:0.1233900136590703 
SN362: c:-0.0058004134232669475 mwebv:0.080128348511049 t0:58708.884900189005 x0:0.004485318528586295 x1:0.027576780020570492 z:0.1418541329402201 
SN363: c:-0.7414216077688656 mwebv:0.03372481624662617 t0:58860.666222518834 x0:0.00040716177141961136 x1:-0.007218306830725082 z:0.11121547160771127 
SN364: c:-0.04345873460684843 mwebv:0.2088553675006652 t0:58827.62505376304 x0:0.00020657481378558176 x1:0.07517279922996364 z:0.13706641894239951 
SN365: c:-0.01587722838289869 mwebv:0.01927100997385961 t0:58908.30300359626 x0:0.0006732083644070466 x1:0.14543218133625566 z:0.09262646783531142 
SN366: c:-0.008156144560950065 mwebv:0.030501861736388053 t0:58620.858433128604 x0:0.00023706591945827182 x1:0.20609710673153 z:0.1427339758208854 
SN367: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN368: c:-0.0782366674043221 mwebv:0.04424035217697496 t0:58619.8900404554 x0:0.0002632052853646621 x1:0.0791953352997448 z:0.1425433283666556 
SN369: c:-0.017154044246592233 mwebv:0.040189795175737966 t0:58916.10132462808 x0:0.000415067211251535 x1:-0.26246309138683316 z:0.1297342453322518 
SN370: c:0.10407356354919188 mwebv:0.12390347050412302 t0:58687.13938627199 x0:0.023838978406586844 x1:1.18230934258198 z:0.012598347184903873 
SN371: c:0.03424270254913473 mwebv:0.08217003190971148 t0:58924.643596551 x0:0.0002339829316362227 x1:-0.1631265583811234 z:0.10363587590995318 
SN372: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN373: c:0.002528048885321749 mwebv:0.09670897132047923 t0:58792.000239243556 x0:0.0008680630501854839 x1:-0.09009748336499813 z:0.08946961298090175 
SN374: c:-0.09925152881874526 mwebv:0.02749345064749559 t0:58736.41410499514 x0:0.00030000881608345254 x1:-0.1422002029865829 z:0.14769354339070392 
SN375: c:-0.2228298533185668 mwebv:0.018321903251040855 t0:58828.73527390841 x0:0.0011222919789361779 x1:-0.7696171944201375 z:0.07352171496862453 
SN376: c:0.05902820316339181 mwebv:0.0848072802559457 t0:58822.30025470532 x0:0.0001305734754291905 x1:-0.39315416818845644 z:0.1493929466722262 
SN377: c:-0.5464735808871038 mwebv:0.34164900720501185 t0:58612.21130792001 x0:0.000491720878454469 x1:-2.695923856984488 z:0.10446917396674286 
SN378: c:0.021787775945839832 mwebv:0.10853983793566488 t0:58588.92456663537 x0:0.000608312301755464 x1:0.11421696079217401 z:0.10694081920851933 
SN379: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN380: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN381: c:-0.040880516677303004 mwebv:0.1300365935621848 t0:58602.31049849119 x0:0.000968415883482872 x1:-0.07814869937069796 z:0.06091979636910476 
SN382: c:-0.0007642932565678578 mwebv:0.2684434662714731 t0:58688.491928456904 x0:0.00016771844524198407 x1:0.04624641094431037 z:0.12341299839591707 
SN383: c:-0.00974317844985605 mwebv:0.19091756735547682 t0:58880.5151029105 x0:0.0008270096636733857 x1:0.1437419194408304 z:0.08828881644680409 
SN384: c:-0.014046367450671655 mwebv:0.10686748296213942 t0:58717.93692764052 x0:0.00019576866004533265 x1:0.16463642610642315 z:0.12585613908804816 
SN385: c:0.0038925993824805083 mwebv:0.12782283337931324 t0:58563.15732004133 x0:0.0007050704060083052 x1:0.03883493303640127 z:0.130696853013072 
SN386: c:-0.008559637992654285 mwebv:0.09911788503104135 t0:58900.48765168888 x0:0.0006454017552618202 x1:-0.006216876335872422 z:0.11837206578036948 
SN387: c:-0.027913810340656296 mwebv:0.05299848364761186 t0:58645.26375896881 x0:0.0005827956843611676 x1:-0.21392974228206413 z:0.09227221430297602 
SN388: c:-0.006694304836834273 mwebv:0.01988329811582773 t0:58867.8737847048 x0:0.0003198932823655428 x1:0.06537338852090104 z:0.14779575862948574 
SN389: c:-0.0008558992645836204 mwebv:0.4769100552728131 t0:58703.59522276004 x0:0.0005641469849522729 x1:-0.0913367420654927 z:0.14469400527947734 
SN390: c:-0.04096620295668738 mwebv:0.17294819434815714 t0:58901.53413723852 x0:0.0025723794881470446 x1:0.1939911239136743 z:0.048995216577787264 
SN391: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN392: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN393: c:-0.3278190416208868 mwebv:0.01628655544315628 t0:58591.08756189772 x0:0.0014302082808482371 x1:0.9283081293120713 z:0.1069679771206699 
SN394: c:-0.007581574029835748 mwebv:0.056315470580368746 t0:58837.11167045821 x0:0.00260818761252982 x1:0.7102261846907376 z:0.040018670821152756 
SN395: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN396: c:-0.019141077292771706 mwebv:0.4512431331005579 t0:58667.35510753751 x0:0.00031307455434663483 x1:0.07294055076654428 z:0.1452456417770298 
SN397: c:0.009940900200542696 mwebv:0.07991276373562153 t0:58760.91501021731 x0:0.00044822589589950634 x1:0.07244324416677586 z:0.12324183599032132 
SN398: c:0.029946376356497734 mwebv:0.15053950404988367 t0:58808.960189805126 x0:0.0005776648643107458 x1:0.1502377183825168 z:0.10361262149578152 
SN399: c:0.004141541776364127 mwebv:0.024258240007222442 t0:58579.350737082925 x0:0.0005175872075396435 x1:0.2970581583371369 z:0.12131071703762238 
SN400: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN401: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN402: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN403: c:0.07184431013448837 mwebv:0.02708128666683881 t0:58626.104996307 x0:0.001290742138147588 x1:-0.15255743174863132 z:0.06541920926852451 
SN404: c:-0.16091961720713926 mwebv:0.12620925718466466 t0:58914.36975972597 x0:0.001132808826447093 x1:0.3977331004647147 z:0.0818013287192892 
SN405: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN406: c:-0.05384776637106827 mwebv:0.033195456886074365 t0:58744.11454930153 x0:0.0005594315599062389 x1:0.41845357789673854 z:0.06881652207253036 
SN407: c:0.013863386338386545 mwebv:0.10069905038952688 t0:58819.263816759696 x0:0.0006568665544431223 x1:0.12445230797565218 z:0.09700533437966387 
SN408: c:-0.07272273809612115 mwebv:0.03222983162734429 t0:58650.14335675334 x0:0.0009450433775113206 x1:0.05465639360465629 z:0.08361122324376925 
SN409: c:0.044864264721604256 mwebv:0.022261216189948217 t0:58871.07187985388 x0:0.0017465291591305175 x1:-0.5268972887888828 z:0.05075062773089106 
SN410: c:-0.012975424655023608 mwebv:0.641062170125381 t0:58695.66684115749 x0:0.0007505324142064802 x1:-0.1595818028735971 z:0.14039136550420486 
SN411: c:-0.06115233713932185 mwebv:0.30753982536459884 t0:58682.21393282305 x0:0.002096359360387243 x1:-0.13753240656438825 z:0.11714443982923553 
SN412: c:0.021456737809743696 mwebv:0.09906957712978151 t0:58621.92381911473 x0:0.00019671261010788537 x1:-0.31447169663417435 z:0.12945100864745643 
SN413: c:-0.740981609522795 mwebv:0.02514714329570028 t0:58631.37319056964 x0:0.0006543944538884932 x1:0.018963927223093306 z:0.11424053840711547 
SN414: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN415: c:-0.03430422411514761 mwebv:0.019648772276778723 t0:58712.13950457078 x0:0.00026364504176605916 x1:0.2775340973148132 z:0.13373317839809623 
SN416: c:-0.2961756705703633 mwebv:0.0604720213698868 t0:58818.21052597045 x0:0.0024891613595252483 x1:-0.07013002059470112 z:0.09000016278104411 
SN417: c:0.019748695167989348 mwebv:0.020804046201919852 t0:58671.22923023041 x0:0.000760525908381197 x1:-0.49448586267078326 z:0.059480251726749936 
SN418: c:-0.007728855977611301 mwebv:0.05639226733629723 t0:58757.85127108671 x0:0.00039212077041821087 x1:-0.040058423504160535 z:0.13498983412981802 
SN419: c:0.004167284014179438 mwebv:0.1167071480881897 t0:58628.829669124665 x0:0.00039766051191202534 x1:0.4741237400096362 z:0.11480942869159136 
